id,lang,type
“六四事件”的版本历史 - 维基百科，自由的百科全书,{'zh': 1},article
Shizhao,"{'en': 1, 'fr': 2, 'de': 1, 'es': 0, 'ja': 1, 'ru': 0, 'it': 0, 'zh': 4}",user
ZWH2020ZY,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 4}",user
柟.,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 2}",user
Cewbot,"{'en': 0, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
星枢,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
InternetArchiveBot,"{'en': 3, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 1, 'it': 0, 'zh': 1}",user
世界首都环游,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
Antigng-bot,"{'en': 0, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
Nexusyeh,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 2}",user
Subaguang,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 2}",user
HKO2006,"{'en': 1, 'fr': 0, 'de': 2, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
Nok nok0606,"{'en': 1, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 3}",user
乘龙观音,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 1, 'ru': 0, 'it': 0, 'zh': 2}",user
Kerolf666,"{'en': 0, 'fr': 0, 'de': 1, 'es': 0, 'ja': 1, 'ru': 0, 'it': 0, 'zh': 1}",user
Velvel2,"{'en': 1, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 2}",user
Peter-bomb king,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 3}",user
羊羊32521,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 2}",user
Tanpero,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
步六孤,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
Hf9631,"{'en': 1, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
K.Y.K.Z.K.,"{'en': 2, 'fr': 1, 'de': 0, 'es': 0, 'ja': 2, 'ru': 0, 'it': 0, 'zh': 3}",user
不寫條目的鼻涕蟲,"{'en': 0, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 3}",user
第七詝,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
Wcam,"{'en': 3, 'fr': 0, 'de': 1, 'es': 1, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 3}",user
RekishiEJ,"{'en': 0, 'fr': 0, 'de': 5, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
SkEy,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 1, 'ru': 0, 'it': 0, 'zh': 3}",user
寒吉,"{'en': 1, 'fr': 0, 'de': 1, 'es': 0, 'ja': 1, 'ru': 0, 'it': 0, 'zh': 5}",user
Kixean777,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 2, 'ru': 0, 'it': 0, 'zh': 3}",user
Foodsfoods,"{'en': 1, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 1}",user
我是一个萝莉控,"{'en': 0, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 3}",user
