id,lang,type
Daveduv,{},user
Bank,{'en': 1},article
Type 073 landing ship,{'en': 1},article
Type 072III landing ship,{'en': 1},article
Haier,{'en': 1},article
User talk:Rangoon11,{'en': 1},article
User:Daveduv,{'en': 1},article
Template:Major information technology companies,{'en': 1},article
Digital China,{'en': 1},article
Orange Business Services,{'en': 1},article
Wistron,{'en': 1},article
Coolpad,{'en': 1},article
JD.com,{'en': 1},article
Alibaba Group,{'en': 1},article
TOM Online,{'en': 1},article
VIA Technologies,{'en': 1},article
Template:Telecommunications in China,{'en': 1},article
Datang Telecom Group,{'en': 1},article
Template talk:Major information technology companies,{'en': 1},article
Mobile phone,{'en': 1},article
Port of Shanghai,{'en': 1},article
Comparison of orbital launch systems,{'en': 1},article
Longjing tea,{'en': 1},article
User talk:Bearsona,{'en': 1},article
Tencent,{'en': 1},article
Lenovo,{'en': 1},article
International Wushu Federation,{'en': 1},article
Lenovo smartphones,{'en': 1},article
Wikipedia:Articles for deletion/Fazhengnian (2nd nomination),{'en': 1},article
BeiDou,{'en': 1},article
Template:Satellite navigation systems,{'en': 1},article
Talk:BeiDou,{'en': 1},article
Template talk:Satellite navigation systems,{'en': 1},article
Beidou (disambiguation),{'en': 1},article
Type 071 amphibious transport dock,{'en': 1},article
Type 056 corvette,{'en': 1},article
List of busiest container ports,{'en': 1},article
User talk:Daveduv,{'en': 1},article
Modèle:Palette Systèmes de positionnement par satellites,{'fr': 1},article
Beidou,{'fr': 1},article
Wistron,{'de': 1},article
Long Jing,{'de': 1},article
Beidou (Satellitennavigation),{'de': 1},article
Vorlage:Navigationsleiste Satellitennavigationssysteme,{'de': 1},article
Beidou,{'es': 1},article
Compass,{'es': 1},article
Шаблон:Системы навигации,{'ru': 1},article
Бэйдоу-2,{'ru': 1},article
Sistema di posizionamento BeiDou,{'it': 1},article
Template:Sistema satellitare globale di navigazione,{'it': 1},article
上海轨道交通18号线,{'zh': 1},article
上海轨道交通11号线,{'zh': 1},article
上海轨道交通5号线,{'zh': 1},article
上海轨道交通2号线,{'zh': 1},article
淘宝网,{'zh': 1},article
阿里巴巴集团,{'zh': 1},article
小米集團,{'zh': 1},article
高利貸,{'zh': 1},article
上海市,{'zh': 1},article
不锈钢皂,{'zh': 1},article
海洋石油981,{'zh': 1},article
052D型导弹驱逐舰,{'zh': 1},article
052C型导弹驱逐舰,{'zh': 1},article
中国人民解放军海军,{'zh': 1},article
051型导弹驱逐舰,{'zh': 1},article
User talk:Dd19921016,{'zh': 1},article
Template:中国人民解放军海军舰艇,{'zh': 1},article
Talk:上汽大众,{'zh': 1},article
上汽大众,{'zh': 1},article
Wikipedia:新条目推荐/候选,{'zh': 1},article
华为,{'zh': 1},article
卡尔斯鲁厄理工学院,{'zh': 1},article
慕尼黑工业大学,{'zh': 1},article
User talk:Daveduv,{'zh': 1},article
User:Daveduv,{'zh': 1},article
User talk:守望者爱孟,{'zh': 1},article
後宮甄嬛傳 (電視劇),{'zh': 1},article
宏達國際電子,{'zh': 1},article
雷根遇刺案,{'zh': 1},article
联合国,{'zh': 1},article
朝鲜民主主义人民共和国,{'zh': 1},article
山寨机,{'zh': 1},article
四大银行,{'zh': 1},article
一个中国,{'zh': 1},article
中国工商银行,{'zh': 1},article
香港上海滙豐銀行,{'zh': 1},article
開城工業地區,{'zh': 1},article
国光体育奖章,{'zh': 1},article
Template:综合运动会,{'zh': 1},article
Category talk:台中市公車路線,{'zh': 1},article
056型导弹护卫舰,{'zh': 1},article
2013年朝鲜核试验,{'zh': 1},article
李克强,{'zh': 1},article
無國界醫生,{'zh': 1},article
富智康集團,{'zh': 1},article
鍾欣潼,{'zh': 1},article
Twins,{'zh': 1},article
台灣探空火箭,{'zh': 1},article
中国科学院,{'zh': 1},article
Su-35戰鬥機,{'zh': 1},article
中国人民解放军,{'zh': 1},article
辽宁号航空母舰,{'zh': 1},article
井冈山号综合登陆舰,{'zh': 1},article
053H2G型导弹护卫舰,{'zh': 1},article
053H2型导弹护卫舰,{'zh': 1},article
053H1G型导弹护卫舰,{'zh': 1},article
053H1型导弹护卫舰,{'zh': 1},article
6601型护卫舰,{'zh': 1},article
053H型导弹护卫舰,{'zh': 1},article
Template:PRC护卫舰,{'zh': 1},article
053H3型导弹护卫舰,{'zh': 1},article
054A型导弹护卫舰,{'zh': 1},article
054型导弹护卫舰,{'zh': 1},article
巡防艦,{'zh': 1},article
朝霧型護衛艦,{'zh': 1},article
愛宕級護衛艦,{'zh': 1},article
友谊商店,{'zh': 1},article
中國人民解放軍駐香港部隊,{'zh': 1},article
Wikipedia:请求保护页面,{'zh': 1},article
中国人民解放军空军,{'zh': 1},article
沱江級巡邏艦,{'zh': 1},article
筆記型電腦,{'zh': 1},article
酷派集團,{'zh': 1},article
Talk:宏達國際電子,{'zh': 1},article
中国足球协会超级联赛,{'zh': 1},article
黄浦江,{'zh': 1},article
阿拉 (吴语),{'zh': 1},article
072III型大型登陆舰,{'zh': 1},article
09I型核潜艇,{'zh': 1},article
攻击机,{'zh': 1},article
中国电子竞技运动会,{'zh': 1},article
中國人民解放軍61398部隊,{'zh': 1},article
Wikipedia:優良條目評選/提名區,{'zh': 1},article
棒球,{'zh': 1},article
国防预算,{'zh': 1},article
Talk:中華民國首都,{'zh': 1},article
中華民國首都,{'zh': 1},article
王建民 (棒球員),{'zh': 1},article
王建民,{'zh': 1},article
Talk:王建民 (棒球員),{'zh': 1},article
倩女幽魂II：人間道,{'zh': 1},article
环首都贫困带,{'zh': 1},article
教练-10,{'zh': 1},article
月球背面,{'zh': 1},article
纬创资通,{'zh': 1},article
中国载人航天工程,{'zh': 1},article
Wikipedia:頁面存廢討論/記錄/2013/03/01,{'zh': 1},article
User talk:白石洞天,{'zh': 1},article
Wikipedia:頁面存廢討論/疑似侵權,{'zh': 1},article
User talk:A714934431,{'zh': 1},article
宏碁,{'zh': 1},article
Template:全球主要資訊科技公司,{'zh': 1},article
神州数码,{'zh': 1},article
财富世界500强,{'zh': 1},article
海爾集團,{'zh': 1},article
SoPhone,{'zh': 1},article
京東 (網站),{'zh': 1},article
Facebook,{'zh': 1},article
Groupon,{'zh': 1},article
開放手機聯盟,{'zh': 1},article
4G,{'zh': 1},article
WiMAX,{'zh': 1},article
合格境外机构投资者,{'zh': 1},article
舒克和贝塔,{'zh': 1},article
Talk:上海美术专科学校,{'zh': 1},article
LTE (消歧義),{'zh': 1},article
Android,{'zh': 1},article
Sailfish OS,{'zh': 1},article
MeeGo,{'zh': 1},article
智能手机,{'zh': 1},article
勤工助学,{'zh': 1},article
诺基亚3310,{'zh': 1},article
聯合國大會第2758號決議,{'zh': 1},article
Wikipedia:知识问答/旧版,{'zh': 1},article
中国大陆网络热点事件列表,{'zh': 1},article
北京首都国际机场,{'zh': 1},article
核电厂,{'zh': 1},article
地震,{'zh': 1},article
南浦特別市,{'zh': 1},article
上海证券交易所,{'zh': 1},article
港口,{'zh': 1},article
移动电话运营商列表,{'zh': 1},article
Wikipedia:互助客栈/技术,{'zh': 1},article
User talk:马来西亚人,{'zh': 1},article
威盛電子,{'zh': 1},article
电子数据系统,{'zh': 1},article
EBay,{'zh': 1},article
雅虎,{'zh': 1},article
Talk:多普达,{'zh': 1},article
多普达,{'zh': 1},article
User talk:Wetrace,{'zh': 1},article
任正非,{'zh': 1},article
User talk:Yongdi,{'zh': 1},article
余乐平,{'zh': 1},article
Wikipedia:頁面存廢討論/記錄/2013/02/20,{'zh': 1},article
照相手機,{'zh': 1},article
監獄兔,{'zh': 1},article
浦东新区,{'zh': 1},article
三星電子,{'zh': 1},article
Coolpad,{'zh': 1},article
移动电话,{'zh': 1},article
中兴通讯,{'zh': 1},article
联想集团,{'zh': 1},article
Wikipedia:互助客栈/方针,{'zh': 1},article
Wikipedia:頁面存廢討論/記錄/2013/02/18,{'zh': 1},article
中興,{'zh': 1},article
中華民國國軍,{'zh': 1},article
國防部後備指揮部,{'zh': 1},article
Howard61313,{},user
Joseon–United States Treaty of 1882,{'en': 1},article
South Korea–Vietnam relations,{'en': 1},article
"Embassy of the United States, Beijing",{'en': 1},article
Battle of Kyongju,{'en': 1},article
Gwangju Uprising,{'en': 1},article
May 18 (film),{'en': 1},article
Coup d'état of December Twelfth,{'en': 1},article
THSR 700T,{'en': 1},article
Taipei Metro,{'en': 1},article
George Andrew Davis Jr.,{'en': 1},article
Germany–United Kingdom relations,{'en': 1},article
Sweden–United States relations,{'en': 1},article
"Embassy of Germany, Bangkok",{'en': 1},article
List of ambassadors of the United States to Thailand,{'en': 1},article
United States bombing of the Chinese embassy in Belgrade,{'en': 1},article
Leonard S. Unger,{'en': 1},article
BRIXMIS,{'en': 1},article
Bryan Dutton,{'en': 1},article
Palacio de Bellas Artes,{'en': 1},article
Hasa (Korean military),{'en': 1},article
Ministry of National Defense (South Korea),{'en': 1},article
Corporal,{'en': 1},article
Sergeant,{'en': 1},article
Westminster Bridge,{'en': 1},article
Berlin Friedrichstraße station,{'en': 1},article
"Embassy of Italy, Prague",{'en': 1},article
"Embassy of Italy, Washington, D.C.",{'en': 1},article
"British Embassy, Tokyo",{'en': 1},article
Yongsan Garrison,{'en': 1},article
Colonel,{'en': 1},article
Alec Newman,{'en': 1},article
Little Green Men (disambiguation),{'en': 1},article
Xiaolüren,{'en': 1},article
Bundesautobahn 100,{'en': 1},article
Shelley Conn,{'en': 1},article
Russia–United Kingdom relations,{'en': 1},article
24: Live Another Day,{'en': 1},article
Charles McMahon and Darwin Judge,{'en': 1},article
Sagami General Depot,{'en': 1},article
"United States Army, Japan",{'en': 1},article
Motorcade,{'en': 1},article
Heather Fong,{'en': 1},article
Fred Lau,{'en': 1},article
Zimmermann Telegram,{'en': 1},article
Germany–Sweden relations,{'en': 1},article
Singapore–United States relations,{'en': 1},article
2014 Taipei Metro attack,{'en': 1},article
Army of the Republic of Vietnam,{'en': 1},article
Singapore Armed Forces Military Police Command,{'en': 1},article
South Korea in the Vietnam War,{'en': 1},article
Kurt Chew-Een Lee,{'en': 1},article
Task Force Danbi,{'en': 1},article
Hmong people,{'en': 1},article
Eric G. John,{'en': 1},article
James F. Entwistle,{'en': 1},article
L. Desaix Anderson,{'en': 1},article
Michael Petrucelli,{'en': 1},article
Hmong Americans,{'en': 1},article
766th Independent Infantry Regiment (North Korea),{'en': 1},article
Category:United States military in Taiwan,{'en': 1},article
Food fight,{'en': 1},article
Korean War POWs detained in North Korea,{'en': 1},article
Munmu of Silla,{'en': 1},article
North Korean defectors,{'en': 1},article
Vehicle registration plates of the United States Army in Germany,{'en': 1},article
"2nd Battalion, 9th Marines",{'en': 1},article
April 2014 Ürümqi attack,{'en': 1},article
Murder of Lindsay Hawker,{'en': 1},article
Category:Royal Thai Army personnel,{'en': 1},article
Reserve Officers' Training Corps (South Korea),{'en': 1},article
Defense Security Command,{'en': 1},article
Royal Air Force Police,{'en': 1},article
Reserve Officers' Training Corps (Taiwan),{'en': 1},article
Officer Training School ROKAF,{'en': 1},article
Special Forces Brigades of the Republic of Korea,{'en': 1},article
Republic of Korea Army Special Warfare Command,{'en': 1},article
Chun Doo-hwan,{'en': 1},article
Chung Ho-yong,{'en': 1},article
Jang Tae-wan,{'en': 1},article
1st (United Kingdom) Division,{'en': 1},article
List of diplomatic missions of Sweden,{'en': 1},article
Battle of Onjong,{'en': 1},article
"Embassy of the United States, Bangkok",{'en': 1},article
Battle of Pusan Perimeter order of battle,{'en': 1},article
Bagram Airfield,{'en': 1},article
R2B: Return to Base,{'en': 1},article
Thailand–United States relations,{'en': 1},article
Torre Mayor,{'en': 1},article
Rosemåling,{'en': 1},article
Harry Beck,{'en': 1},article
Paseo de la Reforma,{'en': 1},article
Trianon-Masp (São Paulo Metro),{'en': 1},article
Viaduto do Chá,{'en': 1},article
1st Infantry Division (South Korea),{'en': 1},article
Battle of Tabu-dong,{'en': 1},article
Wiener schnitzel,{'en': 1},article
Unsan (town),{'en': 1},article
Natalia Poklonskaya,{'en': 1},article
RAF West Ruislip,{'en': 1},article
Kristin Kaspersen,{'en': 1},article
Battle of Khe Sanh,{'en': 1},article
Fall of Saigon,{'en': 1},article
Category:Royal Air Force stations in Asia,{'en': 1},article
John Basilone,{'en': 1},article
Aldwych tube station,{'en': 1},article
Lisa Stokke,{'en': 1},article
West Side Yard,{'en': 1},article
Alexander Vandegrift,{'en': 1},article
British Commonwealth Forces Korea,{'en': 1},article
Operation Frequent Wind,{'en': 1},article
United States Air Force in Thailand,{'en': 1},article
Uniforms of the United States Marine Corps,{'en': 1},article
Army Service Uniform,{'en': 1},article
Anna (Frozen),{'en': 1},article
Let It Go,{'en': 1},article
Elsa (Frozen),{'en': 1},article
Janet Hsieh,{'en': 1},article
Castilian Spanish,{'en': 1},article
12 Angry Men (1957 film),{'en': 1},article
Karl Marlantes,{'en': 1},article
Holborn tube station,{'en': 1},article
Category:Military police of the United States,{'en': 1},article
Category:Military police units and formations of the United States,{'en': 1},article
Currywurst,{'en': 1},article
List of Punahou School alumni,{'en': 1},article
Punahou School,{'en': 1},article
List of Medal of Honor recipients for World War II,{'en': 1},article
List of Asian Pacific American Medal of Honor recipients,{'en': 1},article
Francis B. Wai,{'en': 1},article
2014 ROC Presidential Office Building truck attack,{'en': 1},article
Ming Chang,{'en': 1},article
Arthur Dewey Struble,{'en': 1},article
Camp Humphreys,{'en': 1},article
Osan Air Base,{'en': 1},article
Taksin Bridge,{'en': 1},article
Lee Harvey Oswald,{'en': 1},article
"Embassy of the United States, Paris",{'en': 1},article
United States Marine Corps Aviation,{'en': 1},article
Long Bình ward,{'en': 1},article
Uniforms of the British Armed Forces,{'en': 1},article
Case Closed: The Phantom of Baker Street,{'en': 1},article
Colonel Moran,{'en': 1},article
Dr. Watson,{'en': 1},article
Cong you bing,{'en': 1},article
Taipei Representative Office in the U.K.,{'en': 1},article
Taipei Economic and Cultural Representative Office,{'en': 1},article
"Embassy of the United States, London",{'en': 1},article
Judge Advocate General's Corps,{'en': 1},article
USS Robalo,{'en': 1},article
Pickelhaube,{'en': 1},article
Custodian helmet,{'en': 1},article
Miss Veedol,{'en': 1},article
Nonsan,{'en': 1},article
Welcome to Dongmakgol,{'en': 1},article
Chiang Wei-kuo,{'en': 1},article
Lê Minh Đảo,{'en': 1},article
Lý Tòng Bá,{'en': 1},article
M1 helmet,{'en': 1},article
List of KochiKame characters,{'en': 1},article
Chung Tấn Cang,{'en': 1},article
National Order of Vietnam,{'en': 1},article
"Military Assistance Command, Vietnam",{'en': 1},article
Chinatowns in the United States,{'en': 1},article
"Chinatown, San Francisco",{'en': 1},article
7th Infantry Division (United States),{'en': 1},article
Daan metro station,{'en': 1},article
Lauri Törni,{'en': 1},article
Category:Embassy Row,{'en': 1},article
Forrest Gump (character),{'en': 1},article
User talk:Magnolia677,{'en': 1},article
"Embassy of the United States, Saigon",{'en': 1},article
"Junction City, Kansas",{'en': 1},article
"Good Morning, Vietnam",{'en': 1},article
China Marines,{'en': 1},article
"Embassy of the United States, Baghdad",{'en': 1},article
Hiroshi,{'en': 1},article
Military history of Asian Americans,{'en': 1},article
Terry Teruo Kawamura,{'en': 1},article
Marguerite Higgins,{'en': 1},article
Cao Văn Viên,{'en': 1},article
173rd Airborne Brigade Combat Team,{'en': 1},article
Hubert van Es,{'en': 1},article
Hilversum,{'en': 1},article
William Stanton (diplomat),{'en': 1},article
Lâm Ngươn Tánh,{'en': 1},article
Nguyễn Xuân Vinh,{'en': 1},article
Nguyễn Cao Kỳ,{'en': 1},article
Category:Army of the Republic of Vietnam generals,{'en': 1},article
Category:Generals of South Vietnam,{'en': 1},article
Đỗ Cao Trí,{'en': 1},article
Teruo,{'en': 1},article
Chae Myung-shin,{'en': 1},article
Category:Military reforms,{'en': 1},article
Vicenza,{'en': 1},article
History of South Korea,{'en': 1},article
Capital Mechanized Infantry Division,{'en': 1},article
Yangju highway incident,{'en': 1},article
71: Into the Fire,{'en': 1},article
Operation Hong Kil Dong,{'en': 1},article
Battle of Trà Bình,{'en': 1},article
Bình Hòa massacre,{'en': 1},article
Binh Tai Massacre,{'en': 1},article
Bình An/Tây Vinh massacre,{'en': 1},article
Hà My massacre,{'en': 1},article
9th Infantry Division (South Korea),{'en': 1},article
2nd Marine Division (South Korea),{'en': 1},article
Phong Nhị and Phong Nhất massacre,{'en': 1},article
Vietnam War,{'en': 1},article
"Embassy of the United States, Prague",{'en': 1},article
Federal Foreign Office,{'en': 1},article
"Embassy of the United States, Tokyo",{'en': 1},article
Roppongi,{'en': 1},article
United States beef imports in Taiwan,{'en': 1},article
Template:Beef,{'en': 1},article
United States beef imports in Japan,{'en': 1},article
Japanese Iraq Reconstruction and Support Group,{'en': 1},article
Roy W. Chappell,{'en': 1},article
Robot,{'en': 1},article
George Campbell Ross,{'en': 1},article
Kanō Jigorō,{'en': 1},article
Trevor Leggett,{'en': 1},article
Charles Palmer (judoka),{'en': 1},article
Epsom College,{'en': 1},article
Mara Yamauchi,{'en': 1},article
Yukio Hattori,{'en': 1},article
"Chiyoda, Tokyo",{'en': 1},article
List of diplomatic missions of the United Kingdom,{'en': 1},article
"Embassy of Japan, London",{'en': 1},article
Template:Diplomatic missions of the United Kingdom,{'en': 1},article
"Ichibanchō, Chiyoda, Tokyo",{'en': 1},article
Inner Circular Route,{'en': 1},article
List of ambassadors of the United Kingdom to Japan,{'en': 1},article
David Brodie (political strategist),{'en': 1},article
Lionel Berners Cholmondeley,{'en': 1},article
List of Royal Navy shore establishments,{'en': 1},article
"Embassy of the United States, Seoul",{'en': 1},article
"Consulate General of the United States, Shanghai",{'en': 1},article
List of diplomatic missions of the United States,{'en': 1},article
"British Consulate-General, Hong Kong",{'en': 1},article
"Embassy of the United States, Berlin",{'en': 1},article
"Consulate General of the United States, Hyderabad",{'en': 1},article
Template:Diplomatic missions of the United States,{'en': 1},article
"Consulate General of the United States, Florence",{'en': 1},article
Ambassade de Corée du Sud en France,{'fr': 1},article
Représentations diplomatiques de la France,{'fr': 1},article
Ambassade de France au Japon,{'fr': 1},article
Westminster (métro de Londres),{'fr': 1},article
Armée de la république du Viêt Nam,{'fr': 1},article
Bureau français de Taipei,{'fr': 1},article
John Basilone,{'fr': 1},article
Aldwych (métro de Londres),{'fr': 1},article
Chute de Saïgon,{'fr': 1},article
Lee Harvey Oswald,{'fr': 1},article
Utilisateur:Howard61313,{'fr': 1},article
Autoroute britannique M25,{'fr': 1},article
173e brigade aéroportée (États-Unis),{'fr': 1},article
"Raiponce (film, 2010)",{'fr': 1},article
Armée de la république de Chine,{'fr': 1},article
Armée de terre de la république de Chine,{'fr': 1},article
Force aérienne de la république de Chine,{'fr': 1},article
Force aérienne de la République de Corée,{'fr': 1},article
Base aérienne,{'fr': 1},article
Rota,{'fr': 1},article
Modèle:Palette Déploiement des forces armées britanniques,{'fr': 1},article
Iwabuchi Sanji,{'fr': 1},article
Vorlage:Navigationsleiste Deutsche Botschaften,{'de': 1},article
Taiwan High Speed Rail,{'de': 1},article
US-amerikanisches Bombardement der chinesischen Botschaft in Belgrad,{'de': 1},article
Deutsche Botschaft Tokio,{'de': 1},article
Nationale Parlamentsbibliothek,{'de': 1},article
Westminster (London Underground),{'de': 1},article
Chinesische Botschaft in Berlin,{'de': 1},article
Armee der Republik Vietnam,{'de': 1},article
Südkoreanische Marine,{'de': 1},article
Benutzer Diskussion:Spuk968,{'de': 1},article
Liste deutscher Auslandsvertretungen,{'de': 1},article
RAF Brize Norton,{'de': 1},article
John Basilone,{'de': 1},article
Aldwych (London Underground),{'de': 1},article
Benutzer:Howard61313,{'de': 1},article
Hiroshimastraße,{'de': 1},article
M25 motorway,{'de': 1},article
173rd Airborne Brigade Combat Team,{'de': 1},article
Japanische Botschaft in Berlin,{'de': 1},article
Ahn Changho,{'de': 1},article
Südkoreanische Luftwaffe,{'de': 1},article
Marinebasis Rota,{'de': 1},article
Militärflugplatz Sigonella,{'de': 1},article
