source,target,timestamp,id,lang
Alainna,en1,2009-06-17 13:01:00,296949968,en
75.41.127.26,en1,2009-06-17 08:00:00,296918189,en
Rjanag,en1,2009-06-15 12:43:00,296531967,en
Wwbread,en1,2009-06-15 10:54:00,296519184,en
86.151.122.187,en1,2009-06-14 23:10:00,296439611,en
Needlenose,en1,2009-06-14 21:24:00,296422882,en
151.205.121.244,en1,2009-06-14 21:24:00,296422792,en
Malkin,en1,2009-06-14 16:09:00,296372360,en
92.22.58.37,en1,2009-06-14 14:16:00,296355625,en
75.165.51.90,en1,2009-06-13 20:01:00,296222111,en
68.77.127.94,en1,2009-06-12 20:32:00,296042622,en
208.48.240.133,en1,2009-06-12 20:03:00,296037929,en
208.48.240.133,en1,2009-06-12 20:00:00,296037498,en
Andrwsc,en1,2009-06-12 19:22:00,296030527,en
Ohms law,en1,2009-06-12 06:58:00,295931658,en
Ohms law,en1,2009-06-12 06:04:00,295925864,en
JTSchreiber,en1,2009-06-12 04:28:00,295916042,en
JTSchreiber,en1,2009-06-12 04:26:00,295915901,en
Mnh123,en1,2009-06-11 20:17:00,295845643,en
209.111.125.34,en1,2009-06-11 18:59:00,295832253,en
209.111.125.34,en1,2009-06-11 18:59:00,295832150,en
Kausill,en1,2009-06-11 14:47:00,295789630,en
Kausill,en1,2009-06-11 14:45:00,295789200,en
Olegwiki,en1,2009-06-11 10:43:00,295757653,en
Olegwiki,en1,2009-06-11 10:28:00,295756257,en
Olegwiki,en1,2009-06-11 10:19:00,295755258,en
202.40.139.164,en1,2009-06-11 06:22:00,295730043,en
75.165.127.152,en1,2009-06-11 05:38:00,295725207,en
JTSchreiber,en1,2009-06-11 05:03:00,295721199,en
JTSchreiber,en1,2009-06-11 05:00:00,295720831,en
JTSchreiber,en1,2009-06-11 04:52:00,295719984,en
Levineps,en1,2009-06-11 03:50:00,295713460,en
Doniago,en1,2009-06-11 03:16:00,295709281,en
207.216.195.44,en1,2009-06-11 03:14:00,295709053,en
207.216.195.44,en1,2009-06-11 02:59:00,295707199,en
207.216.195.44,en1,2009-06-11 02:53:00,295706459,en
Alainna,en1,2009-06-10 08:06:00,295539950,en
JTSchreiber,en1,2009-06-10 05:03:00,295521348,en
Zarel,en1,2009-06-10 03:39:00,295511226,en
150.101.188.128,en1,2009-06-10 03:34:00,295510682,en
150.101.188.128,en1,2009-06-10 03:26:00,295509605,en
Arx Fortis,en1,2009-06-10 03:25:00,295509500,en
Legobot II,en1,2009-06-10 03:11:00,295507587,en
Duke53,en1,2009-06-10 03:00:00,295505953,en
Malkin,en1,2009-06-09 20:31:00,295442883,en
206.57.41.114,Vignetting,2009-06-05 22:29:00,294669216,en
206.57.41.114,Vignetting,2009-06-05 22:29:00,294669179,en
206.57.41.114,Vignetting,2009-06-05 22:28:00,294669112,en
206.57.41.114,Vignetting,2009-06-05 22:28:00,294669038,en
206.57.41.114,Matte box,2009-06-05 22:23:00,294668135,en
Alainna,Talk:Wang Dan (dissident),2009-06-15 05:13:00,296489061,en
Alainna,User talk:Arilang1234,2009-06-13 01:27:00,296087240,en
Alainna,Wang Dan (dissident),2009-06-11 03:19:00,295709659,en
Alainna,Wang Dan (dissident),2009-06-11 03:17:00,295709411,en
Alainna,Wang Dan (dissident),2009-06-11 03:16:00,295709349,en
Alainna,Wang Dan (dissident),2009-06-11 02:42:00,295705121,en
75.41.127.26,Sino-Indian War,2009-06-16 03:33:00,296683104,en
75.41.127.26,Sino-Indian War,2009-06-16 03:26:00,296682276,en
Rjanag,User talk:190.92.8.180,2009-06-17 22:44:00,297045857,en
Rjanag,Benutzer:Schreiber/Chinese grammar,2009-06-09 21:57:00,107774384,de
Rjanag,Kilgour-Matas-Untersuchungsbericht,2009-06-08 23:17:00,166273236,de
Rjanag,Oh Shenandoah,2009-06-06 19:28:00,163750819,de
Rjanag,Benutzer:Schreiber/Chinese grammar,2009-05-27 23:43:00,107774381,de
Wwbread,Zhengyangmen,2009-06-15 10:59:00,296519677,en
Wwbread,Nothing to My Name,2009-06-15 10:40:00,296517830,en
Wwbread,Unit 731,2009-06-12 08:44:00,295941453,en
Wwbread,Northeast China,2009-06-12 08:36:00,295940634,en
Wwbread,Black Sun,2009-06-12 08:33:00,295940353,en
Wwbread,Black Sun: The Nanking Massacre,2009-06-12 08:27:00,295939903,en
Wwbread,Men Behind the Sun,2009-06-12 08:26:00,295939785,en
Wwbread,北京語,2009-05-30 08:03:00,26151817,ja
Wwbread,朝鮮民主主義人民共和國人體實驗,2009-06-15 11:06:00,10325717,zh
Wwbread,一无所有 (歌曲),2009-06-15 10:37:00,10325476,zh
Wwbread,新长征路上的摇滚,2009-06-15 10:34:00,10325456,zh
Wwbread,一无所有 (歌曲),2009-06-15 10:31:00,10325416,zh
Wwbread,中国摇滚乐,2009-06-15 10:06:00,10325265,zh
Wwbread,人体试验,2009-06-12 09:23:00,10297441,zh
Wwbread,人体试验,2009-06-12 09:15:00,10297384,zh
Wwbread,Talk:人体试验,2009-06-12 09:13:00,10297355,zh
