id,lang,type
1989 Tiananmen Square protests,{'en': 1},article
BabelStone,{},user
OAbot,{},user
Mike Mounier,{},user
Foghe,{},user
Pythagimedes,{},user
Weaveravel,{},user
Wiki nol ege,{},user
Chrism,{},user
Jordanopia,{},user
CaradhrasAiguo,{},user
Overseer19XX,{},user
CentreLeftRight,{},user
Levonscott,{},user
FrescoBot,{},user
Amigao,{},user
Headbomb,{},user
Citation bot,{},user
Havsjö,{},user
Phoenix2448,{},user
OlliverWithDoubleL,{},user
SCreditC,{},user
Kaltenmeyer,{},user
El C,{},user
1.64.93.154,{},user
2a02:8388:6501:f00:2404:36e9:4232:be81,{},user
203.54.226.146,{},user
Talk:Unicode input,{'en': 1},article
User talk:BabelStone,{'en': 1},article
Orthographic ligature,{'en': 1},article
Talk:Khitan large script,{'en': 1},article
User:Aprilian Reyvan123/sandbox,{'en': 1},article
User talk:Aprilian Reyvan123,{'en': 1},article
Lycian alphabet,{'en': 1},article
Lycian (Unicode block),{'en': 1},article
Huining Fu,{'fr': 1},article
Dynastie Jin (1115-1234),{'fr': 1},article
Pagode carrée de Baisikou,{'fr': 1},article
Pagodes jumelles de Baisikou,{'fr': 1},article
Modèle:Palette Unicode,{'fr': 1},article
Unicode,{'fr': 1},article
Prix Giles,{'fr': 1},article
Prix Stanislas-Julien,{'fr': 1},article
Vorlage:Unicodediskussionszentralisierungshinweis,{'de': 1},article
Vorlage:Navigationsleiste Schriftsysteme in Unicode,{'de': 1},article
Unicode-Konsortium,{'de': 1},article
Unicode,{'de': 1},article
Kothaufen-Emoji,{'de': 1},article
Welt-Emoji-Tag,{'de': 1},article
Pyu (Schrift),{'de': 1},article
50 Cent Party,{'de': 1},article
Marc Miyake,{'ja': 1},article
Unicode,{'ja': 1},article
ユニコードコンソーシアム,{'ja': 1},article
荒川慎太郎,{'ja': 1},article
燕子磯,{'ja': 1},article
劉熙載,{'ja': 1},article
末主 (西夏),{'ja': 1},article
Юникод,{'ru': 1},article
Блок Юникода,{'ru': 1},article
"Кычанов, Евгений Иванович",{'ru': 1},article
Книга гаданий,{'ru': 1},article
Unicode,{'it': 1},article
小林劍,{'zh': 1},article
畢可思,{'zh': 1},article
宁夏回族自治区博物馆,{'zh': 1},article
統一碼聯盟,{'zh': 1},article
Unicode字符列表,{'zh': 1},article
Unicode,{'zh': 1},article
回鹘可汗列表,{'zh': 1},article
契丹文,{'zh': 1},article
Mezenia,{'en': 1},article
Matrix factorization (recommender systems),{'en': 1},article
Corruption in Nigeria,{'en': 1},article
Guida Moseley Brown Architects,{'en': 1},article
Kiga people,{'en': 1},article
Ultimate tensile strength,{'en': 1},article
Project NIMROD,{'en': 1},article
Maurice H. Rees,{'en': 1},article
DARPA Network Challenge,{'en': 1},article
Convergent evolution,{'en': 1},article
Endeavouria septemlineata,{'de': 1},article
Benzamidin,{'de': 1},article
Ramani Durvasula,{'de': 1},article
Verschmutzung gegen den Strom,{'de': 1},article
Geschichte der Virologie,{'de': 1},article
Benutzer:Tino Cannst/Minkowski'schen Fragezeichenfunktion,{'de': 1},article
Shi Zhengli,{'de': 1},article
Obama josefi,{'de': 1},article
Erdbeben von Istanbul 1766,{'de': 1},article
Benutzer:Versionen/Mark B. Gerstein,{'de': 1},article
Death of Otto Zehm,{'en': 1},article
Police misconduct,{'en': 1},article
Legal abuse,{'en': 1},article
Judicial misconduct,{'en': 1},article
Institutional racism,{'en': 1},article
Symphorien (série télévisée),{'fr': 1},article
Prison de Bordeaux,{'fr': 1},article
Kommerzielle sexuelle Ausbeutung von Kindern,{'de': 1},article
Bombenexplosion im Harvey’s Resort Hotel,{'de': 1},article
Wikipedia:Wikipedia Signpost/2020-05-31/Recent research,{'en': 1},article
2020–21 Coppa Italia,{'en': 1},article
Golden Horseshoe,{'en': 1},article
List of Coppa Italia finals,{'en': 1},article
User:Foghe,{'en': 1},article
Élections sénatoriales américaines de 2018,{'fr': 1},article
Fichier:Parti républicain italien - Logo.png,{'fr': 1},article
Modèle:Géolocalisation/Italie,{'fr': 1},article
Normandie,{'fr': 1},article
51e État,{'fr': 1},article
Billets de banque en euros,{'fr': 1},article
Abgeordnetenhaus (Mexiko),{'de': 1},article
John Ogonowski,{'de': 1},article
Chiara Ferragni,{'de': 1},article
Bezirksgemeinschaft,{'de': 1},article
Fußball-Europameisterschaft 2016,{'de': 1},article
Anschluss Österreichs,{'de': 1},article
Kreisfreie Stadt,{'de': 1},article
