source,target,timestamp,id,lang
Techyan,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-09-07 04:23:00,61530401,zh
D7CY689,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-09-06 20:43:00,61526825,zh
D7CY689,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-09-06 20:42:00,61526824,zh
Sayorimayu,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-09-01 08:19:00,61447756,zh
Techyan,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-08-31 12:45:00,61435679,zh
D7CY689,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-08-31 02:29:00,61426545,zh
Shizhao,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-08-18 00:29:00,61216542,zh
ZWH2020ZY,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-08-17 15:05:00,61212765,zh
柟.,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-08-16 20:45:00,61199770,zh
Cewbot,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-08-15 00:42:00,61172297,zh
星枢,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-08-12 06:45:00,61127323,zh
InternetArchiveBot,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-07-17 10:27:00,60640753,zh
世界首都环游,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-07-09 12:40:00,60505346,zh
Shizhao,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-07-09 00:54:00,60495143,zh
Antigng-bot,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-07-07 01:20:00,60462711,zh
Nexusyeh,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-30 13:12:00,60358304,zh
Subaguang,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-30 13:06:00,60358215,zh
Cewbot,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-27 08:51:00,60302987,zh
HKO2006,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-22 04:39:00,60224729,zh
Nok nok0606,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-07 00:33:00,59984829,zh
乘龙观音,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-05 18:16:00,59969738,zh
Kerolf666,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-05 11:03:00,59965027,zh
Velvel2,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-05 06:57:00,59962011,zh
Peter-bomb king,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-05 02:03:00,59958867,zh
乘龙观音,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-05 00:31:00,59958183,zh
羊羊32521,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-04 15:35:00,59955325,zh
Tanpero,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-04 12:57:00,59953194,zh
Nok nok0606,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-04 04:50:00,59948047,zh
步六孤,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-04 04:39:00,59947949,zh
Hf9631,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-04 03:28:00,59947230,zh
Hf9631,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-04 03:27:00,59947215,zh
K.Y.K.Z.K.,“六四事件”的版本历史 - 维基百科，自由的百科全书,2020-06-04 02:35:00,59946660,zh
