source,target,timestamp,id,lang
Shizhao,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 8, 18, 0, 29), datetime.datetime(2020, 7, 9, 0, 54), datetime.datetime(2020, 4, 17, 1, 48), datetime.datetime(2020, 3, 2, 4, 0), datetime.datetime(2019, 10, 14, 3, 6), datetime.datetime(2019, 9, 26, 2, 43), datetime.datetime(2019, 9, 25, 8, 23), datetime.datetime(2019, 9, 25, 8, 22), datetime.datetime(2019, 9, 25, 3, 43), datetime.datetime(2019, 9, 24, 6, 46), datetime.datetime(2019, 7, 24, 1, 54), datetime.datetime(2018, 10, 15, 2, 29), datetime.datetime(2018, 8, 6, 1, 27), datetime.datetime(2018, 7, 26, 0, 50), datetime.datetime(2018, 7, 20, 1, 14), datetime.datetime(2018, 4, 27, 14, 26), datetime.datetime(2018, 2, 7, 1, 51), datetime.datetime(2017, 4, 20, 1, 47), datetime.datetime(2017, 4, 12, 2, 55), datetime.datetime(2017, 3, 6, 3, 40), datetime.datetime(2017, 2, 8, 5, 56), datetime.datetime(2017, 2, 6, 6, 29), datetime.datetime(2017, 1, 3, 2, 15), datetime.datetime(2016, 12, 13, 13, 38), datetime.datetime(2016, 11, 9, 4, 7), datetime.datetime(2016, 11, 8, 1, 53), datetime.datetime(2016, 11, 7, 2, 20), datetime.datetime(2016, 8, 1, 1, 29), datetime.datetime(2016, 5, 3, 2, 21), datetime.datetime(2016, 4, 19, 1, 17), datetime.datetime(2015, 11, 18, 2, 9), datetime.datetime(2015, 11, 17, 1, 30), datetime.datetime(2015, 10, 12, 2, 25), datetime.datetime(2015, 10, 12, 2, 24), datetime.datetime(2015, 9, 22, 1, 34), datetime.datetime(2015, 7, 1, 0, 44), datetime.datetime(2014, 7, 8, 2, 46), datetime.datetime(2013, 12, 30, 1, 15), datetime.datetime(2013, 11, 19, 2, 44), datetime.datetime(2013, 11, 19, 2, 41), datetime.datetime(2012, 3, 19, 4, 5), datetime.datetime(2011, 3, 14, 13, 53), datetime.datetime(2011, 3, 14, 13, 49), datetime.datetime(2009, 5, 26, 2, 36), datetime.datetime(2009, 4, 7, 18, 0), datetime.datetime(2009, 4, 7, 18, 0), datetime.datetime(2009, 4, 7, 1, 56), datetime.datetime(2008, 7, 24, 9, 25), datetime.datetime(2008, 7, 24, 9, 20), datetime.datetime(2008, 7, 24, 9, 17), datetime.datetime(2008, 7, 24, 9, 15), datetime.datetime(2008, 7, 24, 9, 14), datetime.datetime(2008, 7, 24, 9, 12), datetime.datetime(2008, 12, 2, 8, 54), datetime.datetime(2007, 11, 28, 6, 54)]","['61216542', '60495143', '59202649', '58421445', '56468358', '56238430', '56229856', '56229849', '56227335', '56216630', '55340892', '51649978', '50745061', '50587036', '50489557', '49325322', '48185701', '44062113', '43966252', '43493896', '43128578', '43093278', '42648209', '42446202', '42096545', '42085318', '42072987', '40986369', '39972409', '39828987', '37912306', '37898557', '37536303', '37536292', '37288358', '36145172', '31820885', '29672615', '29259249', '29259223', '19614401', '15982684', '15982648', '10150491', '9750861', '9750859', '9742648', '7574050', '7574005', '7573983', '7573973', '7573959', '7573945', '6077449', '5670250']",zh
ZWH2020ZY,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 8, 17, 15, 5), datetime.datetime(2020, 4, 13, 13, 54), datetime.datetime(2020, 4, 11, 13, 53), datetime.datetime(2020, 3, 2, 6, 56), datetime.datetime(2020, 3, 2, 3, 34), datetime.datetime(2020, 3, 2, 3, 30), datetime.datetime(2020, 2, 29, 2, 18), datetime.datetime(2020, 2, 29, 2, 17)]","['61212765', '59147273', '59114193', '58423570', '58421123', '58421064', '58381953', '58381930']",zh
柟.,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 8, 16, 20, 45)]",['61199770'],zh
Cewbot,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 8, 15, 0, 42), datetime.datetime(2020, 6, 27, 8, 51), datetime.datetime(2018, 11, 23, 23, 42), datetime.datetime(2018, 5, 5, 22, 9), datetime.datetime(2017, 12, 15, 22, 46), datetime.datetime(2017, 12, 1, 21, 52), datetime.datetime(2017, 1, 6, 21, 51), datetime.datetime(2016, 3, 14, 10, 30), datetime.datetime(2015, 7, 25, 13, 24)]","['61172297', '60302987', '52130967', '49442869', '47388817', '47197800', '42713300', '39370889', '36505810']",zh
星枢,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 8, 12, 6, 45)]",['61127323'],zh
InternetArchiveBot,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 7, 17, 10, 27), datetime.datetime(2020, 5, 1, 14, 41), datetime.datetime(2020, 4, 7, 6, 34), datetime.datetime(2020, 2, 18, 16, 7), datetime.datetime(2020, 12, 4, 18, 10), datetime.datetime(2019, 12, 25, 3, 22), datetime.datetime(2019, 11, 25, 5, 57), datetime.datetime(2019, 11, 12, 13, 29), datetime.datetime(2019, 10, 23, 4, 49), datetime.datetime(2019, 7, 26, 7, 25), datetime.datetime(2019, 7, 20, 16, 32), datetime.datetime(2019, 5, 25, 9, 22), datetime.datetime(2019, 3, 30, 8, 43), datetime.datetime(2019, 2, 19, 17, 9), datetime.datetime(2018, 8, 31, 14, 58), datetime.datetime(2018, 5, 25, 1, 11), datetime.datetime(2018, 3, 27, 8, 0), datetime.datetime(2018, 3, 27, 7, 9), datetime.datetime(2018, 2, 14, 15, 45), datetime.datetime(2017, 11, 23, 9, 39), datetime.datetime(2017, 9, 12, 8, 54)]","['60640753', '59454260', '59032436', '58217844', '57838938', '57396175', '57010748', '56848681', '56582725', '55375467', '55297398', '54547668', '53796780', '53265197', '51107357', '49704045', '48849369', '48848681', '48297171', '47086566', '46162538']",zh
世界首都环游,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 7, 9, 12, 40)]",['60505346'],zh
Antigng-bot,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 7, 7, 1, 20), datetime.datetime(2015, 10, 27, 11, 25)]","['60462711', '37678869']",zh
Nexusyeh,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 30, 13, 12), datetime.datetime(2020, 4, 17, 17, 53)]","['60358304', '59217879']",zh
Subaguang,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 30, 13, 6)]",['60358215'],zh
HKO2006,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 22, 4, 39)]",['60224729'],zh
Nok nok0606,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 7, 0, 33), datetime.datetime(2020, 6, 4, 4, 50)]","['59984829', '59948047']",zh
乘龙观音,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 5, 18, 16), datetime.datetime(2020, 6, 5, 0, 31), datetime.datetime(2020, 5, 4, 0, 59), datetime.datetime(2020, 5, 1, 0, 51), datetime.datetime(2020, 11, 9, 6, 57), datetime.datetime(2020, 11, 9, 6, 29), datetime.datetime(2020, 11, 9, 6, 14), datetime.datetime(2020, 11, 9, 6, 10), datetime.datetime(2020, 11, 9, 6, 5), datetime.datetime(2020, 11, 9, 5, 58), datetime.datetime(2020, 11, 9, 5, 50), datetime.datetime(2020, 11, 9, 5, 49), datetime.datetime(2020, 11, 9, 5, 48), datetime.datetime(2020, 11, 9, 5, 45), datetime.datetime(2020, 11, 9, 5, 41), datetime.datetime(2020, 11, 9, 5, 38), datetime.datetime(2020, 11, 9, 5, 29), datetime.datetime(2020, 11, 9, 5, 24), datetime.datetime(2020, 11, 9, 5, 15), datetime.datetime(2020, 11, 9, 5, 12), datetime.datetime(2020, 11, 9, 5, 10), datetime.datetime(2020, 11, 9, 5, 5), datetime.datetime(2020, 11, 9, 5, 2), datetime.datetime(2020, 11, 9, 4, 59), datetime.datetime(2020, 11, 9, 4, 57), datetime.datetime(2020, 11, 9, 4, 53), datetime.datetime(2020, 11, 9, 4, 51), datetime.datetime(2020, 11, 9, 4, 42), datetime.datetime(2020, 11, 9, 4, 35), datetime.datetime(2020, 11, 9, 4, 31), datetime.datetime(2019, 12, 8, 6, 13), datetime.datetime(2019, 12, 3, 5, 6), datetime.datetime(2019, 12, 3, 5, 4), datetime.datetime(2019, 11, 30, 23, 37), datetime.datetime(2019, 11, 23, 6, 34), datetime.datetime(2019, 11, 15, 19, 5), datetime.datetime(2019, 10, 29, 4, 43), datetime.datetime(2019, 10, 29, 4, 31), datetime.datetime(2019, 10, 28, 22, 6), datetime.datetime(2019, 10, 28, 21, 32), datetime.datetime(2019, 10, 28, 21, 26), datetime.datetime(2019, 10, 28, 21, 24)]","['59969738', '59958183', '59491385', '59442544', '57760278', '57760027', '57759828', '57759780', '57759702', '57759614', '57759521', '57759514', '57759504', '57759464', '57759427', '57759398', '57759304', '57759255', '57759151', '57759122', '57759099', '57759051', '57759017', '57758976', '57758950', '57758916', '57758885', '57758797', '57758713', '57758665', '57173459', '57112534', '57112508', '57084753', '56984359', '56889365', '56664373', '56664215', '56661228', '56661115', '56661082', '56661047']",zh
Kerolf666,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 5, 11, 3), datetime.datetime(2018, 12, 3, 22, 43), datetime.datetime(2018, 6, 3, 6, 31), datetime.datetime(2018, 1, 8, 7, 40), datetime.datetime(2018, 1, 8, 6, 49)]","['59965027', '52254443', '49823897', '47728103', '47727535']",zh
Velvel2,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 5, 6, 57)]",['59962011'],zh
Peter-bomb king,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 5, 2, 3), datetime.datetime(2020, 3, 23, 8, 33), datetime.datetime(2020, 3, 23, 8, 2), datetime.datetime(2015, 2, 26, 11, 29), datetime.datetime(2015, 2, 22, 13, 21), datetime.datetime(2015, 2, 22, 13, 17), datetime.datetime(2015, 2, 22, 13, 12), datetime.datetime(2015, 2, 22, 13, 5), datetime.datetime(2015, 2, 22, 11, 24)]","['59958867', '58767052', '58766621', '34451038', '34402049', '34401985', '34401951', '34401860', '34400794']",zh
羊羊32521,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 4, 15, 35)]",['59955325'],zh
Tanpero,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 4, 12, 57)]",['59953194'],zh
步六孤,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 4, 4, 39)]",['59947949'],zh
Hf9631,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 4, 3, 28), datetime.datetime(2020, 6, 4, 3, 27)]","['59947230', '59947215']",zh
K.Y.K.Z.K.,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 4, 2, 35), datetime.datetime(2016, 10, 2, 6, 29), datetime.datetime(2016, 10, 2, 6, 28)]","['59946660', '41669786', '41669781']",zh
不寫條目的鼻涕蟲,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 3, 17, 51)]",['59944084'],zh
第七詝,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 6, 1, 9, 11)]",['59910160'],zh
Wcam,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 31, 11, 34), datetime.datetime(2020, 5, 28, 10, 56), datetime.datetime(2020, 4, 14, 12, 33), datetime.datetime(2017, 5, 2, 20, 42), datetime.datetime(2017, 2, 16, 18, 55), datetime.datetime(2015, 12, 24, 12, 58), datetime.datetime(2015, 12, 8, 18, 45), datetime.datetime(2009, 9, 1, 3, 9), datetime.datetime(2008, 10, 18, 4, 3), datetime.datetime(2008, 8, 1, 8, 1)]","['59896585', '59851376', '59162457', '44215461', '43253605', '38537126', '38260129', '11043603', '8348033', '7631971']",zh
RekishiEJ,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 30, 20, 21)]",['59886581'],zh
SkEy,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 30, 11, 45)]",['59880266'],zh
寒吉,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 26, 11, 54), datetime.datetime(2020, 5, 19, 11, 15), datetime.datetime(2020, 5, 19, 11, 13), datetime.datetime(2019, 11, 25, 5, 59)]","['59824469', '59725868', '59725848', '57010763']",zh
Kixean777,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 22, 8, 32), datetime.datetime(2020, 4, 11, 8, 48), datetime.datetime(2015, 5, 15, 15, 4), datetime.datetime(2015, 5, 12, 6, 41), datetime.datetime(2015, 5, 6, 12, 45), datetime.datetime(2015, 5, 6, 12, 44), datetime.datetime(2015, 5, 6, 12, 39), datetime.datetime(2015, 5, 6, 12, 37), datetime.datetime(2015, 5, 6, 12, 35), datetime.datetime(2015, 5, 6, 12, 33), datetime.datetime(2015, 5, 6, 9, 31), datetime.datetime(2015, 5, 6, 9, 24), datetime.datetime(2015, 5, 6, 9, 16), datetime.datetime(2015, 5, 6, 4, 59), datetime.datetime(2015, 5, 6, 4, 56), datetime.datetime(2015, 5, 6, 4, 51), datetime.datetime(2015, 5, 6, 4, 49), datetime.datetime(2015, 5, 6, 4, 36), datetime.datetime(2015, 5, 6, 4, 30), datetime.datetime(2015, 5, 6, 4, 5), datetime.datetime(2015, 5, 6, 4, 2), datetime.datetime(2015, 4, 28, 7, 48)]","['59764161', '59108384', '35732929', '35693091', '35630022', '35630002', '35629924', '35629895', '35629866', '35629841', '35628138', '35628061', '35627990', '35625843', '35625826', '35625776', '35625758', '35625673', '35625603', '35625373', '35625352', '35527737']",zh
Foodsfoods,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 20, 10, 5)]",['59739622'],zh
我是一个萝莉控,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 19, 10, 36)]",['59725397'],zh
嘉傑,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 18, 5, 0), datetime.datetime(2019, 9, 13, 14, 30), datetime.datetime(2019, 8, 13, 8, 0), datetime.datetime(2019, 5, 26, 6, 30), datetime.datetime(2019, 5, 26, 6, 0), datetime.datetime(2019, 5, 26, 5, 30), datetime.datetime(2019, 5, 16, 9, 0), datetime.datetime(2019, 5, 4, 8, 0), datetime.datetime(2019, 5, 4, 7, 30), datetime.datetime(2019, 5, 4, 7, 0)]","['59705852', '56082259', '55632805', '54559083', '54558786', '54558388', '54437495', '54281596', '54281260', '54280964']",zh
IceTiki,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 4, 9, 15)]",['59498478'],zh
Yumeto,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 1, 7, 27), datetime.datetime(2020, 4, 24, 11, 0)]","['59448599', '59334132']",zh
Googol19980904,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 7, 20), datetime.datetime(2019, 11, 16, 13, 55), datetime.datetime(2019, 11, 16, 13, 53), datetime.datetime(2019, 11, 9, 10, 10), datetime.datetime(2019, 11, 9, 10, 6), datetime.datetime(2019, 6, 2, 14, 45), datetime.datetime(2019, 6, 2, 14, 43)]","['59431956', '56898565', '56898550', '56807162', '56807105', '54660417', '54660396']",zh
EnchanterLee,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 6, 52), datetime.datetime(2020, 4, 29, 19, 20), datetime.datetime(2020, 4, 29, 18, 53)]","['59431544', '59425089', '59424944']",zh
黄琬琦,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 4, 41), datetime.datetime(2020, 4, 30, 4, 39), datetime.datetime(2020, 4, 30, 4, 15), datetime.datetime(2020, 4, 30, 4, 5), datetime.datetime(2020, 4, 29, 19, 51), datetime.datetime(2020, 4, 29, 19, 15), datetime.datetime(2020, 4, 29, 19, 9), datetime.datetime(2020, 4, 29, 18, 54), datetime.datetime(2020, 4, 29, 18, 47), datetime.datetime(2020, 4, 29, 18, 19)]","['59429626', '59429605', '59429373', '59429233', '59425212', '59425078', '59425048', '59424950', '59424924', '59424745']",zh
Larryasou,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 28, 7, 42)]",['59397027'],zh
Songsexy,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 26, 14, 54), datetime.datetime(2020, 4, 26, 14, 42), datetime.datetime(2020, 4, 26, 14, 6)]","['59372192', '59371999', '59371347']",zh
扬州炒面君,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 26, 13, 44)]",['59370925'],zh
