id,lang,type
“六四事件”的版本历史 - 维基百科，自由的百科全书,{'zh': 1},article
Cbliu,{},user
IfYouWereGone,{},user
HYH.124,{},user
Good afternoon,{},user
Huandy618,{},user
Jarodalien,{},user
KOKUYO,{},user
燃玉,{},user
张二维,{},user
白布飘扬,{},user
联合果君,{},user
420peace,{},user
UU,{},user
Liaon98,{},user
Sinopitt,{},user
江,{},user
Hngt1996,{},user
Jacklamf1d14,{},user
Prosperity Horizons,{},user
楊肇峰,{},user
LNDDYL,{},user
Pengyanan,{},user
Great Brightstar,{},user
Berthe,{},user
地底深山,{},user
太子太保啦啦,{},user
Szechwan001,{},user
Ken2ken,{},user
Kegns,{},user
Veritas-iustitia-libertas,{},user
Shizhao,{},user
Chimin 07,{},user
Kanashimi,{},user
Gabhksw,{},user
Jessechi,{},user
Xander9527,{},user
SyaNHs,{},user
InstantNull,{},user
彭家杰,{},user
Yxyang93,{},user
CommonsDelinker,{},user
Renamed user df2u53fvwn,{},user
WhitePhosphorus,{},user
Tibi wong,{},user
Amin007,{},user
Dickson3434,{},user
Whisper of the heart,{},user
Happyseeu,{},user
Gx9900gundam,{},user
Hakkatw,{},user
Chen9007,{},user
Bluedeck,{},user
Ineffable,{},user
BBCCN,{},user
Es91213,{},user
Liangent-bot,{},user
Skyfiler,{},user
Wildcursive,{},user
DGideas,{},user
Riskchard,{},user
来自外太空,{},user
MacArthur1945,{},user
守望者爱孟,{},user
Hanteng,{},user
Zhejiang,{},user
Visualpiano,{},user
Howitzer,{},user
Liu116,{},user
Jinghaishuishou,{},user
魯班,{},user
Dirrival,{},user
Liangent,{},user
Aronlee90,{},user
RalfX,{},user
Snorri,{},user
Libertytree,{},user
Bxxiaolin,{},user
Ericyu,{},user
Aizag,{},user
Jimmy-bot,{},user
Wzyboy,{},user
Wetrace,{},user
EdiTurn,{},user
Voakiss,{},user
Lecter,{},user
Yanteng3,{},user
Marxistfounder,{},user
文子言木,{},user
我爱画国旗,{},user
Zanetu,{},user
Aflyhorse,{},user
Shibo77,{},user
Yhz1221,{},user
Kolyma,{},user
Addbot,{},user
CommInt'l,{},user
Lawfriedrich,{},user
真人快打,{},user
ZZyXX,{},user
忠国人,{},user
EmausBot,{},user
Almsev,{},user
Queensroad,{},user
Xqbot,{},user
钉钉,{},user
Legolas1024,{},user
历史研究,{},user
石家庄小伙,{},user
維基小霸王,{},user
星の余韻,{},user
Asiaworldcity,{},user
AddisWang,{},user
Voodoowiki,{},user
Makecat,{},user
乌拉跨氪,{},user
浪子小李,{},user
Ltdccba,{},user
門前雪,{},user
Makecat-bot,{},user
Hkwikieditor,{},user
Mikepanhu,{},user
Hvn0413,{},user
Jsjsjs1111,{},user
TaiwanAlex1,{},user
Justincheng12345-bot,{},user
辻畠,{},user
东京热北京也热,{},user
Universehk,{},user
阿撒晡魯,{},user
石,{},user
Symplectopedia,{},user
123.123.92.157,{},user
Sniterapid,{},user
Anson888free,{},user
Chanosum,{},user
ChunJin,{},user
A20120312,{},user
Noooob,{},user
Daveduv,{},user
江漢思歸客,{},user
Wahapure,{},user
RedBot,{},user
Zhxy 519,{},user
Nivekin,{},user
Whhalbert,{},user
Licheong,{},user
Solelyeagle,{},user
Hak-shing,{},user
WongManTakS,{},user
Mys 721tx,{},user
