source,target,timestamp,id,lang
BabelStone,1989 Tiananmen Square protests,2020-06-13 23:44:00,962421341,en
BabelStone,1989 Tiananmen Square protests,2020-06-13 23:23:00,962418924,en
OAbot,1989 Tiananmen Square protests,2020-06-13 20:56:00,962401435,en
Mike Mounier,1989 Tiananmen Square protests,2020-06-07 09:41:00,961231837,en
Mike Mounier,1989 Tiananmen Square protests,2020-06-07 09:38:00,961231382,en
Foghe,1989 Tiananmen Square protests,2020-06-06 22:10:00,961153587,en
Pythagimedes,1989 Tiananmen Square protests,2020-06-06 02:16:00,960995285,en
Weaveravel,1989 Tiananmen Square protests,2020-06-06 01:11:00,960988222,en
Wiki nol ege,1989 Tiananmen Square protests,2020-06-05 20:58:00,960956000,en
Chrism,1989 Tiananmen Square protests,2020-06-04 13:38:00,960709546,en
Jordanopia,1989 Tiananmen Square protests,2020-06-04 06:30:00,960664751,en
CaradhrasAiguo,1989 Tiananmen Square protests,2020-06-04 04:11:00,960651266,en
Overseer19XX,1989 Tiananmen Square protests,2020-06-04 01:49:00,960635381,en
CentreLeftRight,1989 Tiananmen Square protests,2020-06-03 23:36:00,960619050,en
CentreLeftRight,1989 Tiananmen Square protests,2020-06-03 23:24:00,960617550,en
Levonscott,1989 Tiananmen Square protests,2020-05-30 15:48:00,959779720,en
FrescoBot,1989 Tiananmen Square protests,2020-05-28 00:26:00,959279940,en
Amigao,1989 Tiananmen Square protests,2020-05-25 23:39:00,958837555,en
Headbomb,1989 Tiananmen Square protests,2020-05-25 01:07:00,958655470,en
Headbomb,1989 Tiananmen Square protests,2020-05-25 01:06:00,958655291,en
Headbomb,1989 Tiananmen Square protests,2020-05-25 00:59:00,958654328,en
Headbomb,1989 Tiananmen Square protests,2020-05-25 00:58:00,958654209,en
Headbomb,1989 Tiananmen Square protests,2020-05-25 00:57:00,958654130,en
Citation bot,1989 Tiananmen Square protests,2020-05-23 23:29:00,958465353,en
Havsjö,1989 Tiananmen Square protests,2020-05-19 22:12:00,957654547,en
Havsjö,1989 Tiananmen Square protests,2020-05-19 22:10:00,957654229,en
Havsjö,1989 Tiananmen Square protests,2020-05-19 22:08:00,957653951,en
Phoenix2448,1989 Tiananmen Square protests,2020-05-19 15:19:00,957583582,en
OlliverWithDoubleL,1989 Tiananmen Square protests,2020-05-13 09:30:00,956431967,en
Amigao,1989 Tiananmen Square protests,2020-05-12 20:54:00,956344645,en
Citation bot,1989 Tiananmen Square protests,2020-05-12 20:16:00,956339210,en
SCreditC,1989 Tiananmen Square protests,2020-05-09 05:07:00,955680495,en
Kaltenmeyer,1989 Tiananmen Square protests,2020-05-08 00:38:00,955472089,en
El C,1989 Tiananmen Square protests,2020-05-07 00:38:00,955292953,en
El C,1989 Tiananmen Square protests,2020-05-07 00:38:00,955292928,en
El C,1989 Tiananmen Square protests,2020-05-07 00:37:00,955292844,en
1.64.93.154,1989 Tiananmen Square protests,2020-05-07 00:35:00,955292565,en
2a02:8388:6501:f00:2404:36e9:4232:be81,1989 Tiananmen Square protests,2020-05-05 16:42:00,955039722,en
