name,lang,type
1989 Tiananmen Square protests,{'en': 1},article
El C,{},user
97.115.79.8,{},user
BabelStone,{},user
Ifnord,{},user
DittyReacts,{},user
Ipeedmypants lol,{},user
92.67.15.105,{},user
Auspicious bwszd,{},user
HaeB,{},user
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,{},user
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,{},user
Corn Kernel,{},user
Wcam,{},user
Havsjö,{},user
2607:fea8:a240:110:d124:56e5:7c1c:d02f,{},user
36.71.235.186,{},user
113.20.22.71,{},user
113.20.22.103,{},user
ClueBot NG,{},user
Helpmechoose696969,{},user
Azboi,{},user
Rodrigo Valequez,{},user
103.252.200.252,{},user
49.183.58.15,{},user
CLCStudent,{},user
92.40.168.13,{},user
Serols,{},user
46.233.77.19,{},user
24.5.217.173,{},user
Charles Essie,{},user
124.148.179.126,{},user
75.98.137.18,{},user
Iridescent,{},user
49.180.0.62,{},user
2601:188:180:b8e0:65f5:930c:b0b2:cd63,{},user
185.135.2.103,{},user
2a00:23c6:a128:5d01:15af:e537:32f:5ef7,{},user
DemocraticLuntz,{},user
103.93.115.18,{},user
IdreamofJeanie,{},user
81.135.89.7,{},user
DemonDays64 Bot,{},user
Oshwah,{},user
130.65.254.15,{},user
Chris the speller,{},user
211.25.62.90,{},user
LynxTufts,{},user
2605:6000:151f:c8d0:7486:36e1:6347:2a1c,{},user
TheEpicGhosty,{},user
Teddy.Coughlin,{},user
199.85.82.130,{},user
A. Randomdude0000,{},user
2605:a000:1005:822d:6458:387b:b54e:8d80,{},user
Theeddiebear888,{},user
Matthew hk,{},user
Jing345,{},user
Hugo999,{},user
Citobun,{},user
Lutein678,{},user
109.201.38.172,{},user
CaradhrasAiguo,{},user
Elementautumn,{},user
BarryLi,{},user
Monkbot,{},user
Tony1,{},user
Robinlew0,{},user
66.154.176.39,{},user
InternetArchiveBot,{},user
Jusdafax,{},user
BananaX2NUTscholar,{},user
Gog the Mild,{},user
Quindog,{},user
Citation bot,{},user
Hong Kong,{'en': 1},article
OAbot,{},user
AnomieBOT,{},user
Lentower,{},user
Deipnosophista,{},user
MarkH21,{},user
Sir Aman Gulati,{},user
Felixishim,{},user
Taekhosong,{},user
Knight of Gloucestershire,{},user
Jackiechanbruceleekungfu,{},user
Kku,{},user
MrHistorianDude,{},user
Q. Northropi,{},user
Feinoa,{},user
Sun8908,{},user
Interinter321,{},user
Geographyinitiative,{},user
BladeRunner2077,{},user
Bluesatellite,{},user
A smart brainy man,{},user
TravisGTAGamer,{},user
Rjensen,{},user
Peter1170,{},user
LivinAWestLife,{},user
Doanri,{},user
LegioV,{},user
ParadiseDesertOasis8888,{},user
Yeungkahchun,{},user
Lysimachi,{},user
Josqu,{},user
Horserice,{},user
KConWiki,{},user
Reenem,{},user
Dawnseeker2000,{},user
Ohconfucius,{},user
Yungeditor,{},user
Kdm852,{},user
Metalduky54,{},user
Wrath X,{},user
Rjwilmsi,{},user
Alarjar,{},user
Maximajorian Viridio,{},user
Bender the Bot,{},user
Nicholas0,{},user
Jargo Nautilus,{},user
Kiteinthewind,{},user
Wefk423,{},user
Peter Yeung,{},user
HeisenbergPinkman,{},user
Joeccho,{},user
Hari147,{},user
MrOllie,{},user
“六四事件”的版本历史 - 维基百科，自由的百科全书,{'zh': 1},article
ZWH2020ZY,{},user
Kixean777,{},user
AlexLeeCN,{},user
Natureindex,{},user
雷电剑雨,{},user
Peter-bomb king,{},user
Techyan,{},user
Wjabc1996bingnan,{},user
Shizhao,{},user
D7CY689,{},user
420peace,{},user
アハちゃん,{},user
朴益顺安,{},user
乘龙观音,{},user
Jyxyl9,{},user
Njzjz,{},user
No1lovesu,{},user
Aronlee90,{},user
“香港”的版本历史 - 维基百科，自由的百科全书,{'zh': 1},article
Sakramenti,{},user
OmgJasonSYF1220,{},user
Arthur011hk,{},user
佛祖西来,{},user
Leolokey,{},user
Zhenyuan0402,{},user
MoonLight3650,{},user
Godsfewew1232s,{},user
Lzzlnc,{},user
Feliciano0908,{},user
Liu116,{},user
CRHK128,{},user
木靈芝,{},user
Lord Jaraxxus,{},user
Arronwan,{},user
Pktlaurence,{},user
Jimmyshjj,{},user
JuneAugust,{},user
Qiu Xingxiang,{},user
Sanmosa,{},user
Kevin Smith Chen,{},user
四条河原町,{},user
Chankwunyu,{},user
Nickice,{},user
Clithering,{},user
行到水穷处,{},user
Duaneyanan,{},user
嘉傑,{},user
Oscar1003,{},user
Kriz Ju,{},user
Cbls1911,{},user
Thomas Chu Tsun On,{},user
Dominic3203,{},user
TjoergenF,{},user
El%20C,{},user
User talk:43.252.15.247,{'en': 1},article
Web 2.0,{'en': 1},article
User talk:Ritampalit1994,{'en': 1},article
Ultimate fate of the universe,{'en': 1},article
User talk:103.89.179.152,{'en': 1},article
Tamil Eelam,{'en': 1},article
User talk:211.75.72.139,{'en': 1},article
Planck units,{'en': 1},article
Mathura,{'en': 1},article
User talk:2404:160:8103:51B4:B97C:76FB:1C35:7E6,{'en': 1},article
Hamsa,{'en': 1},article
User talk:2601:883:8081:6EE0:9C90:15B0:5478:65F7,{'en': 1},article
Immigration and crime,{'en': 1},article
User talk:2001:8003:4032:3901:F4B1:B32F:5945:A7EB,{'en': 1},article
Politics of Australia,{'en': 1},article
Black hole,{'en': 1},article
Talk:Black hole,{'en': 1},article
Nicaragua,{'en': 1},article
Jukdo (island),{'en': 1},article
User talk:El C,{'en': 1},article
Numero sign,{'en': 1},article
The Epoch Times,{'en': 1},article
Etruscan civilization,{'en': 1},article
Stoicism,{'en': 1},article
User talk:107.15.146.24,{'en': 1},article
Epicureanism,{'en': 1},article
Sanjay Gupta,{'en': 1},article
Ramayana,{'en': 1},article
Andrew Fleming West,{'en': 1},article
Tad (given name),{'en': 1},article
Mount Kailash,{'en': 1},article
Mathematical Alphanumeric Symbols,{'en': 1},article
List of radicals in Unicode,{'en': 1},article
ISO 3166-1,{'en': 1},article
List of pagodas in Beijing,{'en': 1},article
List of most expensive books and manuscripts,{'en': 1},article
The Whole Country is Red,{'en': 1},article
Template:Unicode chart Yezidi,{'en': 1},article
User talk:Aprilian Reyvan,{'en': 1},article
Lydian language,{'en': 1},article
Xianyong era,{'en': 1},article
ISO 3103,{'en': 1},article
Maghas,{'en': 1},article
"St Catherine's Hill, Surrey",{'en': 1},article
Unicode,{'en': 1},article
Copyright symbol,{'en': 1},article
Mariam (disambiguation),{'en': 1},article
Mark Davis (Unicode),{'en': 1},article
ISO/IEC JTC 1/SC 2,{'en': 1},article
Chang Dai-chien,{'en': 1},article
Template:Emoji (Unicode block),{'en': 1},article
The quick brown fox jumps over the lazy dog,{'en': 1},article
List of Bronze Age hoards in Great Britain,{'en': 1},article
Plane (Unicode),{'en': 1},article
Wikipedia:Categories for discussion/Log/2020 March 28,{'en': 1},article
ISO basic Latin alphabet,{'en': 1},article
List of CJK Unified Ideographs Extension B (Part 1 of 7),{'en': 1},article
Specials (Unicode block),{'en': 1},article
Unicode alias names and abbreviations,{'en': 1},article
Talk:Unicode alias names and abbreviations,{'en': 1},article
User talk:BabelStone,{'en': 1},article
畢可思,{'zh': 1},article
宁夏回族自治区博物馆,{'zh': 1},article
統一碼聯盟,{'zh': 1},article
Unicode字符列表,{'zh': 1},article
Unicode,{'zh': 1},article
回鹘可汗列表,{'zh': 1},article
契丹文,{'zh': 1},article
俺答汗,{'zh': 1},article
吾守尔·斯拉木,{'zh': 1},article
魏安,{'zh': 1},article
宋玉,{'zh': 1},article
吴淦,{'zh': 1},article
内蒙古全国重点文物保护单位列表,{'zh': 1},article
鉝,{'zh': 1},article
Wikipedia:Unicode扩展汉字,{'zh': 1},article
胡桃,{'zh': 1},article
维亚切斯拉夫·彼得洛维奇·扎伊采夫,{'zh': 1},article
拜寺口双塔,{'zh': 1},article
宏佛塔,{'zh': 1},article
承天寺塔,{'zh': 1},article
一百零八塔,{'zh': 1},article
西夏文,{'zh': 1},article
