source,target,timestamp,id,lang
IceTiki,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 4, 9, 15)]",['59498478'],zh
乘龙观音,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 4, 0, 59), datetime.datetime(2020, 5, 1, 0, 51), datetime.datetime(2020, 11, 9, 6, 57), datetime.datetime(2020, 11, 9, 6, 29), datetime.datetime(2020, 11, 9, 6, 14), datetime.datetime(2020, 11, 9, 6, 10), datetime.datetime(2020, 11, 9, 6, 5), datetime.datetime(2020, 11, 9, 5, 58), datetime.datetime(2020, 11, 9, 5, 50), datetime.datetime(2020, 11, 9, 5, 49), datetime.datetime(2020, 11, 9, 5, 48), datetime.datetime(2020, 11, 9, 5, 45), datetime.datetime(2020, 11, 9, 5, 41), datetime.datetime(2020, 11, 9, 5, 38), datetime.datetime(2020, 11, 9, 5, 29), datetime.datetime(2020, 11, 9, 5, 24), datetime.datetime(2020, 11, 9, 5, 15), datetime.datetime(2020, 11, 9, 5, 12), datetime.datetime(2020, 11, 9, 5, 10), datetime.datetime(2020, 11, 9, 5, 5), datetime.datetime(2020, 11, 9, 5, 2), datetime.datetime(2020, 11, 9, 4, 59), datetime.datetime(2020, 11, 9, 4, 57), datetime.datetime(2020, 11, 9, 4, 53), datetime.datetime(2020, 11, 9, 4, 51), datetime.datetime(2020, 11, 9, 4, 42), datetime.datetime(2020, 11, 9, 4, 35), datetime.datetime(2020, 11, 9, 4, 31), datetime.datetime(2019, 12, 8, 6, 13), datetime.datetime(2019, 12, 3, 5, 6), datetime.datetime(2019, 12, 3, 5, 4), datetime.datetime(2019, 11, 30, 23, 37), datetime.datetime(2019, 11, 23, 6, 34), datetime.datetime(2019, 11, 15, 19, 5), datetime.datetime(2019, 10, 29, 4, 43), datetime.datetime(2019, 10, 29, 4, 31), datetime.datetime(2019, 10, 28, 22, 6), datetime.datetime(2019, 10, 28, 21, 32), datetime.datetime(2019, 10, 28, 21, 26), datetime.datetime(2019, 10, 28, 21, 24)]","['59491385', '59442544', '57760278', '57760027', '57759828', '57759780', '57759702', '57759614', '57759521', '57759514', '57759504', '57759464', '57759427', '57759398', '57759304', '57759255', '57759151', '57759122', '57759099', '57759051', '57759017', '57758976', '57758950', '57758916', '57758885', '57758797', '57758713', '57758665', '57173459', '57112534', '57112508', '57084753', '56984359', '56889365', '56664373', '56664215', '56661228', '56661115', '56661082', '56661047']",zh
InternetArchiveBot,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 1, 14, 41), datetime.datetime(2020, 4, 7, 6, 34), datetime.datetime(2020, 2, 18, 16, 7), datetime.datetime(2020, 12, 4, 18, 10), datetime.datetime(2019, 12, 25, 3, 22), datetime.datetime(2019, 11, 25, 5, 57), datetime.datetime(2019, 11, 12, 13, 29), datetime.datetime(2019, 10, 23, 4, 49), datetime.datetime(2019, 7, 26, 7, 25), datetime.datetime(2019, 7, 20, 16, 32), datetime.datetime(2019, 5, 25, 9, 22), datetime.datetime(2019, 3, 30, 8, 43), datetime.datetime(2019, 2, 19, 17, 9)]","['59454260', '59032436', '58217844', '57838938', '57396175', '57010748', '56848681', '56582725', '55375467', '55297398', '54547668', '53796780', '53265197']",zh
Yumeto,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 1, 7, 27), datetime.datetime(2020, 4, 24, 11, 0)]","['59448599', '59334132']",zh
Googol19980904,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 7, 20), datetime.datetime(2019, 11, 16, 13, 55), datetime.datetime(2019, 11, 16, 13, 53), datetime.datetime(2019, 11, 9, 10, 10), datetime.datetime(2019, 11, 9, 10, 6), datetime.datetime(2019, 6, 2, 14, 45), datetime.datetime(2019, 6, 2, 14, 43)]","['59431956', '56898565', '56898550', '56807162', '56807105', '54660417', '54660396']",zh
EnchanterLee,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 6, 52), datetime.datetime(2020, 4, 29, 19, 20), datetime.datetime(2020, 4, 29, 18, 53)]","['59431544', '59425089', '59424944']",zh
黄琬琦,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 4, 41), datetime.datetime(2020, 4, 30, 4, 39), datetime.datetime(2020, 4, 30, 4, 15), datetime.datetime(2020, 4, 30, 4, 5), datetime.datetime(2020, 4, 29, 19, 51), datetime.datetime(2020, 4, 29, 19, 15), datetime.datetime(2020, 4, 29, 19, 9), datetime.datetime(2020, 4, 29, 18, 54), datetime.datetime(2020, 4, 29, 18, 47), datetime.datetime(2020, 4, 29, 18, 19)]","['59429626', '59429605', '59429373', '59429233', '59425212', '59425078', '59425048', '59424950', '59424924', '59424745']",zh
Larryasou,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 28, 7, 42)]",['59397027'],zh
Songsexy,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 26, 14, 54), datetime.datetime(2020, 4, 26, 14, 42), datetime.datetime(2020, 4, 26, 14, 6)]","['59372192', '59371999', '59371347']",zh
扬州炒面君,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 26, 13, 44)]",['59370925'],zh
