source,target,timestamp,id
LearnMore,Coronavirus disease 2019,"['202004201510', '202004182020', '202004141245', '202004121554']","['952096349', '951773767', '950899682', '950534608']"
Doctor C,Coronavirus disease 2019,['202004201419'],['952087053']
FriendlyRiverOtter,Coronavirus disease 2019,"['202004201314', '202004200515', '202004200354', '202004200350', '202004200322', '202004200301', '202004200301', '202004190318', '202004190313', '202004190310', '202004190301', '202004190256', '202004190254', '202004190202', '202004190200', '202004190146', '202004190140', '202004181652', '202004172156', '202004172057', '202004172048', '202004172044', '202004172042', '202004172032', '202004172018', '202004172017', '202004172016', '202004170310', '202004152352', '202004152346', '202004151705', '202004151700', '202004151658', '202004151645', '202004151636', '202004151632', '202004151624', '202004151332', '202004151328', '202004151318', '202004141849', '202004141843', '202004141841', '202004141835', '202004140459', '202004140434', '202004140426', '202004140419', '202004140412', '202004140408', '202004140004', '202004132344', '202004132339', '202004132332', '202004130417']","['952078089', '952022028', '952012485', '952011994', '952008760', '952006278', '952006227', '951828770', '951828204', '951827865', '951826730', '951826184', '951825932', '951819405', '951819150', '951817318', '951816448', '951740235', '951589719', '951579533', '951577957', '951577277', '951576917', '951575414', '951572719', '951572438', '951572242', '951427119', '951195976', '951194952', '951130596', '951129809', '951129473', '951127042', '951125545', '951124857', '951123665', '951097994', '951097368', '951096037', '950955016', '950954163', '950953787', '950952978', '950851215', '950848781', '950847943', '950847296', '950846611', '950846175', '950813465', '950810876', '950810306', '950809546', '950646375']"
Phuzion,Coronavirus disease 2019,['202004201303'],['952076468']
SylviaStanley,Coronavirus disease 2019,"['202004201246', '202004201112']","['952074116', '952062536']"
Hariharan91,Coronavirus disease 2019,"['202004201201', '202004191429', '202004191216', '202004191210', '202004191158', '202004191155']","['952068174', '951905074', '951889057', '951888381', '951887059', '951886699']"
JHunterJ,Coronavirus disease 2019,"['202004201108', '202004112257']","['952061953', '950407076']"
Jmv2009,Coronavirus disease 2019,"['202004201041', '202004200924', '202004200116', '202004200040', '202004191508', '202004191504', '202004191502', '202004191308', '202004191043', '202004191017', '202004191010', '202004190944', '202004190942', '202004190922', '202004190919', '202004190821', '202004190812', '202004190804', '202004190750', '202004190743', '202004190732', '202004190721', '202004190710', '202004190701', '202004190552', '202004182150', '202004182055', '202004182040', '202004182002', '202004181957', '202004181900', '202004181351', '202004180728', '202004180636', '202004180633', '202004180620', '202004180530', '202004180455', '202004180452', '202004180412', '202004171943', '202004171931', '202004171929', '202004171916', '202004170437', '202004170432', '202004161132', '202004161127', '202004161124', '202004151829', '202004150736', '202004130657', '202004130518', '202004121837', '202004121827', '202004121528', '202004121330', '202004121318', '202004121030', '202004110957', '202004110956', '202004110602', '202004110550', '202004102021', '202004102019', '202004101531', '202004101457', '202004070416', '202004051402']","['952058531', '952049947', '951992446', '951987294', '951910287', '951909728', '951909380', '951894954', '951879807', '951876960', '951876054', '951873440', '951873284', '951870798', '951870485', '951861733', '951859605', '951858256', '951856025', '951855221', '951854096', '951853067', '951851931', '951851013', '951844538', '951786553', '951779257', '951776986', '951771238', '951770359', '951760228', '951713475', '951664672', '951659134', '951658920', '951657546', '951652606', '951649126', '951648682', '951644218', '951563851', '951560670', '951560381', '951557255', '951437018', '951436383', '951281057', '951280464', '951280043', '951143463', '951056259', '950663061', '950652445', '950560637', '950559082', '950530809', '950515207', '950513715', '950494508', '950301272', '950301198', '950278261', '950277266', '950209954', '950209791', '950166461', '950161868', '949553659', '949264363']"
Bangalamania,Coronavirus disease 2019,"['202004200611', '202004200610', '202004200545', '202004200534', '202004200529', '202004190441', '202004080024']","['952028502', '952028454', '952025170', '952023921', '952023390', '951837494', '949696845']"
Doc James,Coronavirus disease 2019,"['202004200539', '202004200533', '202004200532', '202004200531', '202004192149', '202004192148', '202004192143', '202004192130', '202004192128', '202004192125', '202004192121', '202004192118', '202004192117', '202004192117', '202004192116', '202004192115', '202004192114', '202004190043', '202004172311', '202004172238', '202004172232', '202004172231', '202004172215', '202004172211', '202004172210', '202004172207', '202004172206', '202004172206', '202004171924', '202004171909', '202004162238', '202004162237', '202004162236', '202004160058', '202004160055', '202004152309', '202004152306', '202004152306', '202004152305', '202004152302', '202004152301', '202004152259', '202004152258', '202004152257', '202004151807', '202004141924', '202004141924', '202004141919', '202004141919', '202004141918', '202004140342', '202004140340', '202004140337', '202004140334', '202004140334', '202004140334', '202004140331', '202004131945', '202004131943', '202004131907', '202004131906', '202004131905', '202004131902', '202004130221', '202004121753', '202004121747', '202004112147', '202004112142', '202004112140', '202004112137', '202004112137', '202004112137', '202004110458', '202004110457', '202004110456', '202004110456', '202004110455', '202004110322', '202004110320', '202004101937', '202004101937']","['952024417', '952023820', '952023692', '952023610', '951967440', '951967233', '951966639', '951964909', '951964594', '951964236', '951963692', '951963359', '951963195', '951963155', '951963011', '951962931', '951962836', '951808748', '951601522', '951596614', '951595727', '951595510', '951592691', '951592068', '951591980', '951591398', '951591261', '951591179', '951559065', '951555310', '951389997', '951389751', '951389501', '951207676', '951207224', '951189355', '951188968', '951188865', '951188720', '951188255', '951188035', '951187757', '951187581', '951187458', '951139682', '950960781', '950960693', '950959986', '950959940', '950959709', '950842986', '950842691', '950842313', '950841948', '950841886', '950841848', '950841422', '950776288', '950776003', '950770622', '950770460', '950770304', '950769766', '950631176', '950553623', '950552864', '950397303', '950396572', '950396228', '950395879', '950395785', '950395732', '950272564', '950272473', '950272384', '950272362', '950272291', '950263330', '950263083', '950203589', '950203475']"
Wikmoz,Coronavirus disease 2019,"['202004200459', '202004170432', '202004170352', '202004170303', '202004132019', '202004062339', '202004060451']","['952020176', '951436343', '951431866', '951426303', '950781559', '949521761', '949382241']"
Denelson83,Coronavirus disease 2019,['202004200330'],['952009645']
Sesquiannual,Coronavirus disease 2019,['202004200212'],['951999830']
Captain Cornwall,Coronavirus disease 2019,['202004200146'],['951996580']
AnomieBOT,Coronavirus disease 2019,"['202004200024', '202004110140']","['951985519', '950251978']"
Lmviterbo,Coronavirus disease 2019,"['202004192221', '202004192218']","['951971344', '951970992']"
Widefox,Coronavirus disease 2019,"['202004192200', '202004191945']","['951968748', '951950366']"
Presearch,Coronavirus disease 2019,['202004192145'],['951966925']
BCthroughNL,Coronavirus disease 2019,['202004192033'],['951957181']
RexxS,Coronavirus disease 2019,"['202004192014', '202004181949', '202004181003', '202004172253', '202004171519', '202004152301', '202004152256', '202004111618']","['951954442', '951769051', '951682030', '951598940', '951514877', '951188078', '951187287', '950346660']"
Ptelford,Coronavirus disease 2019,['202004191833'],['951939797']
Arjayay,Coronavirus disease 2019,['202004191808'],['951936498']
Brogo13,Coronavirus disease 2019,"['202004191556', '202004181843', '202004181557', '202004180733', '202004172109', '202004171903', '202004162105', '202004160003', '202004152019', '202004141927', '202004131517', '202004121853', '202004121218', '202004111153', '202004110053']","['951916828', '951757692', '951732063', '951665267', '951581595', '951554434', '951372603', '951197831', '951163299', '950961267', '950732595', '950563104', '950506710', '950313012', '950246281']"
RCraig09,Coronavirus disease 2019,"['202004191342', '202004110319', '202004102144', '202004091841']","['951898932', '950262995', '950223106', '950000669']"
Alexanderlam128,Coronavirus disease 2019,"['202004191227', '202004191227', '202004191225']","['951890182', '951890168', '951889951']"
D6194c-1cc,Coronavirus disease 2019,"['202004191214', '202003280743', '202003112059', '202003112035']","['951888797', '947754891', '945105376', '945101506']"
Spettro9,Coronavirus disease 2019,"['202004190919', '202004190734', '202004190730', '202004190730']","['951870384', '951854274', '951853918', '951853843']"
Abductive,Coronavirus disease 2019,['202004190625'],['951847405']
ItsPugle,Coronavirus disease 2019,"['202004190615', '202004190609', '202004190604', '202004190144', '202003260515']","['951846550', '951846036', '951845589', '951817144', '947419783']"
MartinezMD,Coronavirus disease 2019,"['202004190558', '202004190458', '202004140131', '202004130052', '202004111714']","['951845017', '951839245', '950825289', '950618493', '950355582']"
Sachinvenga,Coronavirus disease 2019,"['202004190516', '202004161331']","['951841151', '951297084']"
Vecr,Coronavirus disease 2019,"['202004190426', '202003261424']","['951835996', '947468616']"
GlenAllenJohnsonJr,Coronavirus disease 2019,['202004190425'],['951835845']
Starship.paint,Coronavirus disease 2019,['202004190334'],['951830525']
Afernand74,Coronavirus disease 2019,"['202004181958', '202004150645', '202004121410']","['951770512', '951051086', '950520246']"
RandomIntrigue,Coronavirus disease 2019,"['202004181754', '202004101851']","['951750257', '950196590']"
Popcornfud,Coronavirus disease 2019,['202004181311'],['951707987']
Moxy,Coronavirus disease 2019,['202004181310'],['951707818']
CentreLeftRight,Coronavirus disease 2019,['202004180808'],['951668830']
Whywhenwhohow,Coronavirus disease 2019,"['202004180441', '202004170614', '202004170359', '202004170357']","['951647535', '951446654', '951432610', '951432362']"
L235,Coronavirus disease 2019,"['202004171810', '202004171810']","['951544595', '951544545']"
Swood100,Coronavirus disease 2019,['202004171759'],['951542840']
Spyglasses,Coronavirus disease 2019,['202004171753'],['951541784']
Ain92,Coronavirus disease 2019,"['202004171324', '202004101826', '202004101815', '202004091442', '202004090023', '202004062022', '202004062017', '202004031544', '202003221603', '202003211726', '202003152224', '202003152220', '202003130014']","['951497433', '950192771', '950191137', '949963713', '949869820', '949497887', '949497229', '948885043', '946813822', '946669397', '945750559', '945750075', '945285853']"
Amakuha,Coronavirus disease 2019,"['202004170840', '202004110721', '202004110628']","['951463682', '950285539', '950280566']"
Juhee Cha,Coronavirus disease 2019,"['202004170727', '202004170726']","['951454070', '951453869']"
Nixinova,Coronavirus disease 2019,['202004170722'],['951453550']
Mfb,Coronavirus disease 2019,"['202004170651', '202004170640', '202004170616']","['951450118', '951448979', '951446863']"
PJRoRo,Coronavirus disease 2019,"['202004162333', '202004162329']","['951397463', '951396937']"
-sche,Coronavirus disease 2019,['202004162244'],['951390811']
Wikinium,Coronavirus disease 2019,"['202004161805', '202004160042', '202004152229', '202004152227']","['951341125', '951205098', '951183500', '951183187']"
Daniel1212,Coronavirus disease 2019,"['202004161743', '202004161740']","['951337042', '951336524']"
Jmarchn,Coronavirus disease 2019,"['202004161357', '202004061734', '202003310646', '202003290714', '202003090716', '202003090619']","['951301328', '949472330', '948293560', '947931355', '944674137', '944670120']"
LeonardoMelchior,Coronavirus disease 2019,"['202004160735', '202004160734']","['951254423', '951254352']"
HiLo48,Coronavirus disease 2019,['202004160641'],['951249453']
Honey-badger24,Coronavirus disease 2019,['202004160635'],['951248981']
RopeTricks,Coronavirus disease 2019,['202004160452'],['951238509']
Ravenpuff,Coronavirus disease 2019,"['202004160424', '202004160421', '202004151340', '202004151339', '202004150726', '202004150721', '202004150717', '202004150716']","['951235833', '951235587', '951099140', '951098982', '951055311', '951054879', '951054428', '951054369']"
FT2,Coronavirus disease 2019,"['202004160155', '202004160154', '202004160152', '202004152048', '202004072014', '202004072008', '202004052105', '202004052103', '202004052059']","['951215224', '951215083', '951214884', '951168167', '949665780', '949665027', '949327677', '949327344', '949326622']"
Keith D,Coronavirus disease 2019,['202004160034'],['951203644']
Gtoffoletto,Coronavirus disease 2019,"['202004160022', '202004152208', '202004031750']","['951201239', '951180286', '948907347']"
Prototyperspective,Coronavirus disease 2019,"['202004151843', '202003302030', '202003301124', '202003281151', '202003272340', '202003272333']","['951145961', '948222343', '948144551', '947775900', '947703338', '947702683']"
Wuerzele,Coronavirus disease 2019,"['202004151259', '202004151258']","['951093575', '951093505']"
Nemo bis,Coronavirus disease 2019,['202004151024'],['951075222']
OyMosby,Coronavirus disease 2019,"['202004142049', '202004140656', '202004140546']","['950974371', '950861889', '950855530']"
John B123,Coronavirus disease 2019,"['202004141814', '202004141813', '202004141812']","['950950038', '950949920', '950949743']"
Theroyalrambler,Coronavirus disease 2019,"['202004141752', '202004141750', '202004141743', '202004141741', '202004141735', '202004141717', '202004141716', '202004141657', '202004140824', '202004140814', '202004140808', '202004140749', '202004140744', '202004140742', '202004140653', '202004140641', '202004140638', '202004140636', '202004140616']","['950946666', '950946259', '950945105', '950944774', '950943747', '950940611', '950940462', '950937634', '950871517', '950870481', '950869223', '950866857', '950866273', '950866054', '950861618', '950860569', '950860343', '950860173', '950858446']"
Stephanwehner,Coronavirus disease 2019,"['202004141652', '202003231629', '202003231557', '202003211421']","['950936727', '946988759', '946984273', '946645920']"
Iridescent,Coronavirus disease 2019,['202004141616'],['950930904']
ReverseSolidus,Coronavirus disease 2019,"['202004141446', '202004141426']","['950916963', '950913808']"
Hlucho,Coronavirus disease 2019,['202004140923'],['950876990']
Magnovvig,Coronavirus disease 2019,"['202004140650', '202004140647', '202004131347', '202004131340', '202004131339', '202004131336', '202004130916', '202004130912', '202004130904', '202004130823']","['950861402', '950861085', '950718225', '950717219', '950717002', '950716521', '950679429', '950678951', '950678011', '950673406']"
TylerDurden8823,Coronavirus disease 2019,"['202004140436', '202004132140', '202004132140', '202004132138', '202004132137', '202004132131', '202004132130', '202004132124', '202004132116', '202004132113', '202004132113', '202004132110', '202004132109', '202004132108', '202004132106', '202004132103', '202004132103', '202004122324', '202004111904', '202004111846', '202004102026', '202004102025', '202004102024', '202004102024', '202004102022', '202004102022', '202004102021', '202004102014', '202004102014', '202004102013', '202004102012', '202004102011', '202004102011', '202004102009']","['950848946', '950794220', '950794155', '950793872', '950793785', '950792859', '950792741', '950791817', '950790445', '950789950', '950789834', '950789333', '950789300', '950789151', '950788757', '950788432', '950788313', '950604104', '950373062', '950370103', '950210858', '950210640', '950210581', '950210460', '950210263', '950210148', '950210094', '950208997', '950208912', '950208851', '950208732', '950208608', '950208529', '950208328']"
Ian Furst,Coronavirus disease 2019,"['202004140247', '202004140244', '202004140053', '202004140050', '202004140043', '202004140041']","['950835345', '950834957', '950820009', '950819559', '950818666', '950818526']"
Sam1370,Coronavirus disease 2019,"['202004140204', '202004131704', '202004120106', '202004120031', '202004120008']","['950829571', '950750847', '950424905', '950419829', '950416488']"
Mohamed Osama AlNagdy,Coronavirus disease 2019,['202004131943'],['950776088']
Veritycheck,Coronavirus disease 2019,"['202004131934', '202004131752', '202004131533', '202004012054', '202004011901']","['950774790', '950758598', '950735579', '948581532', '948564771']"
Greatawakening2020,Coronavirus disease 2019,['202004131823'],['950763846']
Comingdeer,Coronavirus disease 2019,"['202004131613', '202004121506']","['950742755', '950527657']"
Attomir,Coronavirus disease 2019,"['202004130920', '202004111118', '202004102138', '202004092159', '202004081521', '202004071847', '202004041002', '202003252212', '202003252202']","['950679882', '950309563', '950222247', '950034913', '949792813', '949652544', '949036805', '947371805', '947370422']"
DocWatson42,Coronavirus disease 2019,['202004130819'],['950673009']
Radical Mallard,Coronavirus disease 2019,['202004130020'],['950613643']
Yug,Coronavirus disease 2019,['202004122211'],['950593633']
Spyder212,Coronavirus disease 2019,"['202004122001', '202004121922', '202004121922', '202004121921', '202004121919', '202004121917']","['950573744', '950567746', '950567604', '950567436', '950567190', '950566859']"
Pincrete,Coronavirus disease 2019,"['202004121645', '202004121630', '202004121628']","['950543198', '950540566', '950540248']"
Some1,Coronavirus disease 2019,['202004121354'],['950518436']
Geysirhead,Coronavirus disease 2019,"['202004120751', '202004120636']","['950472346', '950462574']"
Capewearer,Coronavirus disease 2019,"['202004120404', '202004120401', '202004120356']","['950447940', '950447554', '950447028']"
United States Man,Coronavirus disease 2019,['202004120024'],['950418632']
Dfdooger,Coronavirus disease 2019,"['202004120016', '202004030217']","['950417541', '948797555']"
Xxavyer,Coronavirus disease 2019,['202004112105'],['950391345']
User-duck,Coronavirus disease 2019,['202004112024'],['950385356']
Drbogdan,Coronavirus disease 2019,"['202004111922', '202004111703', '202004111702']","['950375871', '950353695', '950353627']"
GKFX,Coronavirus disease 2019,"['202004111458', '202003251704', '202003251630']","['950335316', '947325561', '947320748']"
Mutleysmith,Coronavirus disease 2019,"['202004111434', '202004111432', '202004102238']","['950332057', '950331790', '950230056']"
Dekimasu,Coronavirus disease 2019,['202004111323'],['950323221']
Shadowssettle,Coronavirus disease 2019,['202004111050'],['950306630']
Cardiology08,Coronavirus disease 2019,"['202004111013', '202003102154']","['950303076', '944949858']"
JBW95,Coronavirus disease 2019,['202004110704'],['950284122']
Moksha88,Coronavirus disease 2019,"['202004110441', '202004110432', '202004110428', '202004110422', '202004110407', '202004110356', '202004110338', '202004110328', '202003251910', '202003191550', '202003190414', '202003190407', '202003130227', '202003100329', '202003100322', '202002222229', '202002212048', '202002212041', '202002210341', '202002150355', '202002150353']","['950270928', '950270085', '950269668', '950269192', '950267822', '950266802', '950264978', '950263870', '947345615', '946342433', '946274186', '946273478', '945300967', '944821253', '944820481', '942149873', '941980937', '941979957', '941864893', '940871377', '940871134']"
