source,target,timestamp,id
AmateurEditor,1989 Tiananmen Square protests,"['202004170109', '201912040520', '201911270618']","['951411808', '929185242', '928161548']"
173.164.46.193,1989 Tiananmen Square protests,['202004170006'],['951402383']
El C,1989 Tiananmen Square protests,"['202004160111', '202004160103', '202003290749', '202002120510', '201912022029', '201911172126', '201908082129', '201908082128', '201908082127', '201905280453', '201905280452', '201905280451', '201905252330', '201905240445', '201905080003', '201904171705', '201904171705']","['951210070', '951208803', '947934716', '940376010', '928966154', '926656144', '909978028', '909977971', '909977869', '899148201', '899148171', '899148083', '898792111', '898525144', '896023180', '892908027', '892907988']"
97.115.79.8,1989 Tiananmen Square protests,"['202004160105', '202004160059']","['951209274', '951208013']"
BabelStone,1989 Tiananmen Square protests,"['202004141741', '201908032240', '201908031838', '201906020953']","['950944802', '909213895', '909186985', '899933096']"
Ifnord,1989 Tiananmen Square protests,['202004141727'],['950942244']
DittyReacts,1989 Tiananmen Square protests,['202004141726'],['950942153']
Ipeedmypants lol,1989 Tiananmen Square protests,"['202004141542', '202004141540']","['950925542', '950925153']"
92.67.15.105,1989 Tiananmen Square protests,"['202004121520', '202004121509', '202004121504']","['950529622', '950528087', '950527405']"
Auspicious bwszd,1989 Tiananmen Square protests,"['202004101421', '202004101342', '202004101339']","['950156781', '950151310', '950150968']"
HaeB,1989 Tiananmen Square protests,"['202004101348', '202003280612', '201911111331']","['950152130', '947747943', '925653513']"
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,1989 Tiananmen Square protests,['202004081157'],['949764701']
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,1989 Tiananmen Square protests,['202004081141'],['949763016']
Corn Kernel,1989 Tiananmen Square protests,"['202004081002', '202001281454']","['949753611', '938000203']"
Wcam,1989 Tiananmen Square protests,['202004061215'],['949426577']
Havsjö,1989 Tiananmen Square protests,"['202004030634', '201912041639', '201910070907', '201909261126', '201908122036', '201908122035', '201906251126', '201906150750', '201906061748', '201906061543', '201906061410', '201906061409', '201906061406', '201906061244', '201906061041', '201906061039', '201906061038', '201906061027', '201906061021', '201906060941', '201906052205', '201906051807', '201906051805', '201906051551', '201906051546', '201906051539', '201906051323', '201906051257', '201906051256', '201906051255', '201906051245', '201906051211', '201906051053', '201906051052', '201906051043', '201906051041', '201906051039', '201906051031', '201906051029', '201906051028', '201906050904', '201906041716', '201906040825', '201906040823', '201906040821', '201906040815', '201906040813', '201906032249', '201906032227', '201906031012', '201906031011', '201906021228', '201906021222']","['948823750', '929254087', '920034748', '917975051', '910546312', '910546187', '903382879', '901926523', '900617831', '900598433', '900584729', '900584585', '900584133', '900572265', '900555861', '900555609', '900555497', '900554081', '900553301', '900548622', '900469322', '900441262', '900441077', '900425127', '900424587', '900423685', '900406819', '900403655', '900403543', '900403442', '900402197', '900398535', '900391546', '900391442', '900390599', '900390478', '900390281', '900389559', '900389421', '900389369', '900382747', '900288849', '900229406', '900229255', '900229084', '900228619', '900228403', '900175840', '900173356', '900086570', '900086489', '899946468', '899945935']"
2607:fea8:a240:110:d124:56e5:7c1c:d02f,1989 Tiananmen Square protests,['202003300913'],['948131152']
36.71.235.186,1989 Tiananmen Square protests,['202003291647'],['948000938']
113.20.22.71,1989 Tiananmen Square protests,['202003290748'],['947934632']
113.20.22.103,1989 Tiananmen Square protests,"['202003280346', '202003280345']","['947734890', '947734720']"
ClueBot NG,1989 Tiananmen Square protests,"['202003280115', '202003151017', '201912050313', '201911251610', '201911121644', '201908042219', '201905221301']","['947715573', '945654634', '929330257', '927913578', '925835445', '909359647', '898260889']"
Helpmechoose696969,1989 Tiananmen Square protests,['202003280115'],['947715531']
Azboi,1989 Tiananmen Square protests,['202003271554'],['947641698']
Rodrigo Valequez,1989 Tiananmen Square protests,['202003271049'],['947607423']
103.252.200.252,1989 Tiananmen Square protests,['202003271046'],['947607205']
