id,lang,type
1989 Tiananmen Square protests,{'en': 1},article
AmateurEditor,"{'en': 56, 'zh': 0}",user
173.164.46.193,"{'en': 1, 'zh': 0}",user
El C,"{'en': 2, 'zh': 0}",user
97.115.79.8,"{'en': 1, 'zh': 0}",user
BabelStone,"{'en': 63, 'zh': 60}",user
Ifnord,"{'en': 89, 'zh': 0}",user
DittyReacts,"{'en': 2, 'zh': 0}",user
Ipeedmypants lol,"{'en': 1, 'zh': 0}",user
92.67.15.105,"{'en': 38, 'zh': 0}",user
Auspicious bwszd,"{'en': 1, 'zh': 0}",user
HaeB,"{'en': 94, 'zh': 3}",user
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,"{'en': 1, 'zh': 0}",user
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,"{'en': 1, 'zh': 0}",user
Corn Kernel,"{'en': 1, 'zh': 0}",user
Wcam,"{'en': 74, 'zh': 67}",user
Havsjö,"{'en': 1, 'zh': 0}",user
2607:fea8:a240:110:d124:56e5:7c1c:d02f,"{'en': 3, 'zh': 0}",user
36.71.235.186,"{'en': 3, 'zh': 0}",user
113.20.22.71,"{'en': 2, 'zh': 2}",user
113.20.22.103,"{'en': 1, 'zh': 2}",user
ClueBot NG,"{'en': 1, 'zh': 0}",user
Helpmechoose696969,"{'en': 1, 'zh': 0}",user
Azboi,"{'en': 72, 'zh': 0}",user
Rodrigo Valequez,"{'en': 1, 'zh': 0}",user
103.252.200.252,"{'en': 30, 'zh': 0}",user
49.183.58.15,"{'en': 5, 'zh': 0}",user
CLCStudent,"{'en': 82, 'zh': 0}",user
92.40.168.13,"{'en': 1, 'zh': 0}",user
Serols,"{'en': 87, 'zh': 0}",user
46.233.77.19,"{'en': 2, 'zh': 0}",user
24.5.217.173,"{'en': 30, 'zh': 1}",user
Charles Essie,"{'en': 1, 'zh': 0}",user
124.148.179.126,"{'en': 1, 'zh': 0}",user
75.98.137.18,"{'en': 1, 'zh': 0}",user
Iridescent,"{'en': 99, 'zh': 0}",user
49.180.0.62,"{'en': 3, 'zh': 0}",user
2601:188:180:b8e0:65f5:930c:b0b2:cd63,"{'en': 57, 'zh': 0}",user
185.135.2.103,"{'en': 1, 'zh': 0}",user
2a00:23c6:a128:5d01:15af:e537:32f:5ef7,"{'en': 1, 'zh': 0}",user
DemocraticLuntz,"{'en': 95, 'zh': 0}",user
103.93.115.18,"{'en': 9, 'zh': 0}",user
IdreamofJeanie,"{'en': 90, 'zh': 0}",user
81.135.89.7,"{'en': 2, 'zh': 0}",user
DemonDays64 Bot,"{'en': 1, 'zh': 0}",user
Oshwah,"{'en': 80, 'zh': 0}",user
130.65.254.15,"{'en': 23, 'zh': 0}",user
Chris the speller,"{'en': 1, 'zh': 0}",user
211.25.62.90,"{'en': 10, 'zh': 0}",user
LynxTufts,"{'en': 95, 'zh': 0}",user
2605:6000:151f:c8d0:7486:36e1:6347:2a1c,"{'en': 1, 'zh': 0}",user
TheEpicGhosty,"{'en': 30, 'zh': 0}",user
Teddy.Coughlin,"{'en': 20, 'zh': 0}",user
199.85.82.130,"{'en': 7, 'zh': 0}",user
A. Randomdude0000,"{'en': 1, 'zh': 0}",user
2605:a000:1005:822d:6458:387b:b54e:8d80,"{'en': 2, 'zh': 0}",user
Theeddiebear888,"{'en': 16, 'zh': 0}",user
Matthew hk,"{'en': 2, 'zh': 0}",user
Jing345,"{'en': 60, 'zh': 47}",user
Hugo999,"{'en': 84, 'zh': 0}",user
Citobun,"{'en': 73, 'zh': 24}",user
Lutein678,"{'en': 67, 'zh': 10}",user
109.201.38.172,"{'en': 1, 'zh': 0}",user
CaradhrasAiguo,"{'en': 65, 'zh': 74}",user
Elementautumn,"{'en': 45, 'zh': 22}",user
BarryLi,"{'en': 8, 'zh': 0}",user
Monkbot,"{'en': 101, 'zh': 0}",user
Tony1,"{'en': 96, 'zh': 0}",user
Robinlew0,"{'en': 2, 'zh': 0}",user
66.154.176.39,"{'en': 23, 'zh': 0}",user
InternetArchiveBot,"{'en': 102, 'zh': 102}",user
Jusdafax,"{'en': 91, 'zh': 0}",user
BananaX2NUTscholar,"{'en': 3, 'zh': 0}",user
Gog the Mild,"{'en': 2, 'zh': 0}",user
Quindog,"{'en': 1, 'zh': 0}",user
Citation bot,"{'en': 2, 'zh': 0}",user
Thegamingkinh,"{'en': 2, 'zh': 0}",user
216.56.20.114,"{'en': 54, 'zh': 0}",user
88.98.92.69,"{'en': 5, 'zh': 0}",user
Dimadick,"{'en': 70, 'zh': 0}",user
212.139.32.46,"{'en': 18, 'zh': 0}",user
209.124.167.206,"{'en': 10, 'zh': 0}",user
159.61.192.10,"{'en': 15, 'zh': 0}",user
165.166.63.70,"{'en': 21, 'zh': 0}",user
Bsherr,"{'en': 73, 'zh': 0}",user
FlightTime,"{'en': 74, 'zh': 5}",user
2607:9880:2f38:41:4d89:c93d:2e79:15f5,"{'en': 1, 'zh': 0}",user
Raspberry144mb,"{'en': 8, 'zh': 0}",user
JustinMatrose,"{'en': 5, 'zh': 0}",user
DumbBOT,"{'en': 71, 'zh': 0}",user
Bobbychan193,"{'en': 42, 'zh': 2}",user
Tbhotch,"{'en': 79, 'zh': 6}",user
Johnuniq,"{'en': 76, 'zh': 23}",user
FlightTime Phone,"{'en': 1, 'zh': 0}",user
2601:647:4f00:3cb0:6ce2:a366:c9f0:f00d,"{'en': 1, 'zh': 0}",user
2a02:c7f:c206:e400:e5d0:3fd9:80f2:9704,"{'en': 2, 'zh': 0}",user
I'm not perfect but I'm almost,"{'en': 1, 'zh': 0}",user
2600:387:0:803::62,"{'en': 16, 'zh': 0}",user
NotAChineseBot,"{'en': 2, 'zh': 0}",user
2600:1004:b045:b201:0:3a:bf31:a301,"{'en': 1, 'zh': 0}",user
Sun Creator,"{'en': 1, 'zh': 0}",user
Amigao,"{'en': 55, 'zh': 0}",user
Rich Farmbrough,"{'en': 1, 'zh': 0}",user
KingSkyLord,"{'en': 84, 'zh': 0}",user
Voice of Clam,"{'en': 1, 'zh': 0}",user
PaulinSaudi,"{'en': 60, 'zh': 0}",user
