id,lang,type
1989 Tiananmen Square protests,en,article
92.67.15.105,en,user
Auspicious bwszd,en,user
HaeB,en,user
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,en,user
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,en,user
Corn Kernel,en,user
Wcam,en,user
Havsjö,en,user
2607:fea8:a240:110:d124:56e5:7c1c:d02f,en,user
36.71.235.186,en,user
El C,en,user
113.20.22.71,en,user
113.20.22.103,en,user
ClueBot NG,en,user
Helpmechoose696969,en,user
Azboi,en,user
Rodrigo Valequez,en,user
103.252.200.252,en,user
49.183.58.15,en,user
CLCStudent,en,user
92.40.168.13,en,user
Serols,en,user
46.233.77.19,en,user
24.5.217.173,en,user
Charles Essie,en,user
124.148.179.126,en,user
75.98.137.18,en,user
Iridescent,en,user
49.180.0.62,en,user
2601:188:180:b8e0:65f5:930c:b0b2:cd63,en,user
185.135.2.103,en,user
2a00:23c6:a128:5d01:15af:e537:32f:5ef7,en,user
DemocraticLuntz,en,user
103.93.115.18,en,user
IdreamofJeanie,en,user
81.135.89.7,en,user
DemonDays64 Bot,en,user
Oshwah,en,user
130.65.254.15,en,user
Chris the speller,en,user
211.25.62.90,en,user
LynxTufts,en,user
2605:6000:151f:c8d0:7486:36e1:6347:2a1c,en,user
TheEpicGhosty,en,user
Teddy.Coughlin,en,user
199.85.82.130,en,user
A. Randomdude0000,en,user
2605:a000:1005:822d:6458:387b:b54e:8d80,en,user
Theeddiebear888,en,user
Matthew hk,en,user
Jing345,en,user
Hugo999,en,user
Citobun,en,user
Lutein678,en,user
109.201.38.172,en,user
CaradhrasAiguo,en,user
Elementautumn,en,user
BarryLi,en,user
Monkbot,en,user
Tony1,en,user
Robinlew0,en,user
66.154.176.39,en,user
InternetArchiveBot,en,user
Jusdafax,en,user
BananaX2NUTscholar,en,user
Gog the Mild,en,user
Quindog,en,user
Citation bot,en,user
Thegamingkinh,en,user
216.56.20.114,en,user
88.98.92.69,en,user
AmateurEditor,en,user
Dimadick,en,user
212.139.32.46,en,user
Hong Kong,en,article
Deipnosophista,en,user
MarkH21,en,user
Sir Aman Gulati,en,user
Felixishim,en,user
Taekhosong,en,user
Knight of Gloucestershire,en,user
Jackiechanbruceleekungfu,en,user
Kku,en,user
MrHistorianDude,en,user
Q. Northropi,en,user
Feinoa,en,user
Sun8908,en,user
Interinter321,en,user
Geographyinitiative,en,user
BladeRunner2077,en,user
Bluesatellite,en,user
A smart brainy man,en,user
TravisGTAGamer,en,user
Rjensen,en,user
Peter1170,en,user
LivinAWestLife,en,user
Doanri,en,user
LegioV,en,user
ParadiseDesertOasis8888,en,user
Yeungkahchun,en,user
Lysimachi,en,user
Josqu,en,user
Horserice,en,user
KConWiki,en,user
Reenem,en,user
Dawnseeker2000,en,user
Ohconfucius,en,user
Yungeditor,en,user
Kdm852,en,user
Metalduky54,en,user
Wrath X,en,user
Rjwilmsi,en,user
Alarjar,en,user
Maximajorian Viridio,en,user
Bender the Bot,en,user
Nicholas0,en,user
Jargo Nautilus,en,user
Kiteinthewind,en,user
Wefk423,en,user
Peter Yeung,en,user
HeisenbergPinkman,en,user
Joeccho,en,user
Hari147,en,user
MrOllie,en,user
KingSkyLord,en,user
Hydroelectricity in China,en,article
Wang Zhongcheng,en,article
Shanghai Conservatory of Music,en,article
Cai Yuanpei,en,article
Maoling,en,article
Emperor Wu of Han,en,article
Records of the Grand Historian,en,article
Sima Qian,en,article
Chuzi I,en,article
Duke Wen of Qin,en,article
Yongle Emperor,en,article
Mao Yichang,en,article
King Zhuangxiang of Qin,en,article
King Xiaowen of Qin,en,article
King Zhaoxiang of Qin,en,article
Duke Xian of Qin (424–362 BC),en,article
Chuzi II,en,article
Duke Hui I of Qin,en,article
Duke Kang of Qin,en,article
Duke De of Qin,en,article
Duke Xian of Qin (725–704 BC),en,article
Auspicious_bwszd,en,user
User:Auspicious bwszd,en,article
Talk:1989 Tiananmen Square protests,en,article
User talk:HaeB,en,article
History of Google,en,article
Wikipedia talk:WikiProject COVID-19,en,article
COVID-19 app,en,article
Anchor Brewing Company,en,article
McCoy Stadium,en,article
MLB China Series,en,article
Rover (ice hockey),en,article
Mario Menéndez,en,article
Antonio Domingo Bussi,en,article
Obaika Racing,en,article
Toby Young,en,article
User talk:2601:245:C602:4DC0:DD61:6932:6D64:413F,en,article
Flag of Maryland,en,article
Carmen Ortiz,en,article
Eventbrite,en,article
SEIU United Healthcare Workers West,en,article
Google News,en,article
User talk:2601:1C0:4700:341:1484:B15A:FA43:1783,en,article
Propofol,en,article
Don't be evil,en,article
Dune (1984 film),en,article
2019–20 coronavirus pandemic,en,article
Surgical mask,en,article
Andre Royo,en,article
United States Department of Veterans Affairs,en,article
Online encyclopedia,en,article
Tedros Adhanom,en,article
Kyla,en,article
KZ Tandingan,en,article
Talk:Disneyland with the Death Penalty,en,article
Esztergom Synagogue,en,article
Megavirus,en,article
Disneyland with the Death Penalty,en,article
Switzerland during the World Wars,en,article
Wikipedia:Sockpuppet investigations/Ineedtostopforgetting,en,article
Mauro Ferrari,en,article
Roza Bal,en,article
Corn_Kernel,en,user
Tesla Autopilot,en,article
Iran Air Flight 655,en,article
Talk:Iran Air Flight 655,en,article
Spearman's rank correlation coefficient,en,article
Magnetic Poetry,en,article
Talk:Crimes against humanity under communist regimes,en,article
User talk:159.242.111.50,en,article
2020 Baghdad International Airport airstrike,en,article
Ryanair,en,article
WS2400,en,article
Wanshan Special Vehicle,en,article
LIHKG,en,article
User:Corn Kernel,en,article
Christmas truce,en,article
Logic in computer science,en,article
Whitey (drugs),en,article
Great power,en,article
Superpower,en,article
Kwalliso,en,article
Pyongyang Metro,en,article
Talk:Kim Chol,en,article
Kim Chol,en,article
Samalkha,en,article
Wikipedia:Non-free content,en,article
Talk:Sea,en,article
File:Duilio 1948.jpg,en,article
National Geodetic Vertical Datum of 1929,en,article
North American Vertical Datum of 1988,en,article
File:Crossroads.ogg,en,article
Simultaneous substitution,en,article
Finite Volume Community Ocean Model,en,article
"Sea, Lake, and Overland Surge from Hurricanes",en,article
Severe acute respiratory syndrome coronavirus 2,en,article
User talk:TFSA,en,article
User talk:MazurJacek,en,article
File:G.R.L.-Vacation.png,en,article
Wikipedia:Files for discussion/2020 January 16,en,article
User talk:Kyliex2008,en,article
Gossip magazine,en,article
User talk:Brianga,en,article
Wikipedia:Files for discussion/2019 December 12,en,article
Wikipedia:Files for discussion/2019 December 6,en,article
User talk:Ec1801011,en,article
Emperor Yuan of Liang,en,article
Wikipedia:Files for discussion/2019 September 15,en,article
User talk:MSG17,en,article
Wikipedia:Files for discussion/2019 August 29,en,article
ADCIRC,en,article
File:Sean Scully - Raval Rojo - 2004.jpg,en,article
File:Mars trilogy.jpg,en,article
Mars trilogy,en,article
HMS Beckford,en,article
DeSmogBlog,en,article
Wheeler School,en,article
Yim Maukun,en,article
MIT BBS,en,article
Wikipedia:Files for discussion/2019 May 6,en,article
User talk:Bl1zz4rd-editor,en,article
Liu Xiaobo,en,article
Havsj%C3%B6,en,user
List of French flags,en,article
Scioa Governorate,en,article
Harar Governorate,en,article
Galla-Sidamo Governorate,en,article
Governorates of Italian East Africa,en,article
Italian Ethiopia,en,article
Amhara Governorate,en,article
Italian East Africa,en,article
List of Governors of the Governorates of Italian East Africa,en,article
Addis Abeba Governorate,en,article
Scioa,en,article
Shewa Governorate,en,article
Somalia Governorate,en,article
Eritrea Governorate,en,article
Eritrea Province,en,article
Serbian campaign,en,article
