name,lang,type
1989 Tiananmen Square protests,{'en': 1},article
AmateurEditor,{},user
173.164.46.193,{},user
El C,{},user
97.115.79.8,{},user
BabelStone,{},user
Ifnord,{},user
DittyReacts,{},user
Ipeedmypants lol,{},user
92.67.15.105,{},user
Auspicious bwszd,{},user
HaeB,{},user
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,{},user
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,{},user
Corn Kernel,{},user
Wcam,{},user
Havsjö,{},user
2607:fea8:a240:110:d124:56e5:7c1c:d02f,{},user
36.71.235.186,{},user
113.20.22.71,{},user
113.20.22.103,{},user
ClueBot NG,{},user
Helpmechoose696969,{},user
Azboi,{},user
Rodrigo Valequez,{},user
103.252.200.252,{},user
49.183.58.15,{},user
CLCStudent,{},user
92.40.168.13,{},user
Serols,{},user
46.233.77.19,{},user
24.5.217.173,{},user
Charles Essie,{},user
124.148.179.126,{},user
75.98.137.18,{},user
Iridescent,{},user
49.180.0.62,{},user
2601:188:180:b8e0:65f5:930c:b0b2:cd63,{},user
185.135.2.103,{},user
2a00:23c6:a128:5d01:15af:e537:32f:5ef7,{},user
DemocraticLuntz,{},user
103.93.115.18,{},user
IdreamofJeanie,{},user
81.135.89.7,{},user
DemonDays64 Bot,{},user
Oshwah,{},user
130.65.254.15,{},user
Chris the speller,{},user
211.25.62.90,{},user
LynxTufts,{},user
2605:6000:151f:c8d0:7486:36e1:6347:2a1c,{},user
TheEpicGhosty,{},user
Teddy.Coughlin,{},user
199.85.82.130,{},user
A. Randomdude0000,{},user
2605:a000:1005:822d:6458:387b:b54e:8d80,{},user
Theeddiebear888,{},user
Matthew hk,{},user
Jing345,{},user
Hugo999,{},user
Citobun,{},user
Lutein678,{},user
109.201.38.172,{},user
CaradhrasAiguo,{},user
Elementautumn,{},user
BarryLi,{},user
Monkbot,{},user
Tony1,{},user
Robinlew0,{},user
66.154.176.39,{},user
InternetArchiveBot,{},user
Jusdafax,{},user
BananaX2NUTscholar,{},user
Gog the Mild,{},user
Quindog,{},user
Citation bot,{},user
Thegamingkinh,{},user
216.56.20.114,{},user
88.98.92.69,{},user
Dimadick,{},user
212.139.32.46,{},user
209.124.167.206,{},user
159.61.192.10,{},user
165.166.63.70,{},user
Bsherr,{},user
FlightTime,{},user
2607:9880:2f38:41:4d89:c93d:2e79:15f5,{},user
Raspberry144mb,{},user
JustinMatrose,{},user
DumbBOT,{},user
Bobbychan193,{},user
