id,lang,type
Coronavirus disease 2019,{'en': 1},article
LearnMore,"{'en': 100, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Doctor C,"{'en': 1, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
FriendlyRiverOtter,"{'en': 5, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Phuzion,"{'en': 95, 'fr': 0, 'de': 27, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
SylviaStanley,"{'en': 41, 'fr': 1, 'de': 10, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Hariharan91,"{'en': 35, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
JHunterJ,"{'en': 91, 'fr': 3, 'de': 85, 'es': 1, 'ja': 4, 'ru': 1, 'it': 2, 'zh': 0, 'fa': 0, 'ar': 0}",user
Jmv2009,"{'en': 2, 'fr': 0, 'de': 2, 'es': 1, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Bangalamania,"{'en': 33, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Doc James,"{'en': 1, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Wikmoz,"{'en': 26, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Denelson83,"{'en': 54, 'fr': 0, 'de': 54, 'es': 0, 'ja': 2, 'ru': 0, 'it': 1, 'zh': 0, 'fa': 0, 'ar': 0}",user
Sesquiannual,"{'en': 81, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Captain Cornwall,"{'en': 1, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
AnomieBOT,"{'en': 95, 'fr': 4, 'de': 79, 'es': 1, 'ja': 0, 'ru': 0, 'it': 2, 'zh': 0, 'fa': 0, 'ar': 0}",user
Lmviterbo,"{'en': 79, 'fr': 4, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 1, 'zh': 0, 'fa': 0, 'ar': 0}",user
Widefox,"{'en': 68, 'fr': 1, 'de': 63, 'es': 1, 'ja': 1, 'ru': 0, 'it': 1, 'zh': 1, 'fa': 0, 'ar': 0}",user
Presearch,"{'en': 39, 'fr': 4, 'de': 9, 'es': 3, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 2, 'ar': 0}",user
BCthroughNL,"{'en': 57, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
RexxS,"{'en': 40, 'fr': 6, 'de': 22, 'es': 0, 'ja': 1, 'ru': 1, 'it': 4, 'zh': 0, 'fa': 4, 'ar': 1}",user
Ptelford,"{'en': 61, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Arjayay,"{'en': 97, 'fr': 2, 'de': 78, 'es': 5, 'ja': 0, 'ru': 0, 'it': 1, 'zh': 0, 'fa': 0, 'ar': 0}",user
Brogo13,"{'en': 33, 'fr': 0, 'de': 1, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
RCraig09,"{'en': 23, 'fr': 0, 'de': 8, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Alexanderlam128,"{'en': 47, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 49, 'fa': 0, 'ar': 0}",user
D6194c-1cc,"{'en': 22, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 19, 'it': 1, 'zh': 0, 'fa': 0, 'ar': 0}",user
Spettro9,"{'en': 79, 'fr': 0, 'de': 2, 'es': 1, 'ja': 0, 'ru': 1, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Abductive,"{'en': 99, 'fr': 33, 'de': 50, 'es': 42, 'ja': 19, 'ru': 20, 'it': 18, 'zh': 35, 'fa': 8, 'ar': 9}",user
ItsPugle,"{'en': 50, 'fr': 0, 'de': 0, 'es': 0, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
MartinezMD,"{'en': 36, 'fr': 0, 'de': 12, 'es': 1, 'ja': 0, 'ru': 0, 'it': 0, 'zh': 0, 'fa': 0, 'ar': 0}",user
Sachinvenga,"{'en': 78, 'fr': 0, 'de': 3, 'es': 0, 'ja': 0, 'ru': 0, 'it': 1, 'zh': 0, 'fa': 0, 'ar': 0}",user
