id,lang,type
Coronavirus disease 2019,{'en': 1},article
LearnMore,"{'en': 100, 'zh': 0}",user
Doctor C,"{'en': 1, 'zh': 0}",user
FriendlyRiverOtter,"{'en': 5, 'zh': 0}",user
Phuzion,"{'en': 95, 'zh': 0}",user
SylviaStanley,"{'en': 41, 'zh': 0}",user
Hariharan91,"{'en': 35, 'zh': 0}",user
JHunterJ,"{'en': 91, 'zh': 0}",user
Jmv2009,"{'en': 2, 'zh': 0}",user
Bangalamania,"{'en': 33, 'zh': 0}",user
Doc James,"{'en': 1, 'zh': 0}",user
Wikmoz,"{'en': 26, 'zh': 0}",user
Denelson83,"{'en': 54, 'zh': 0}",user
Sesquiannual,"{'en': 81, 'zh': 0}",user
Captain Cornwall,"{'en': 1, 'zh': 0}",user
AnomieBOT,"{'en': 95, 'zh': 0}",user
Lmviterbo,"{'en': 79, 'zh': 0}",user
Widefox,"{'en': 68, 'zh': 1}",user
Presearch,"{'en': 39, 'zh': 0}",user
BCthroughNL,"{'en': 57, 'zh': 0}",user
RexxS,"{'en': 40, 'zh': 0}",user
Ptelford,"{'en': 61, 'zh': 0}",user
Arjayay,"{'en': 97, 'zh': 0}",user
Brogo13,"{'en': 33, 'zh': 0}",user
RCraig09,"{'en': 23, 'zh': 0}",user
Alexanderlam128,"{'en': 47, 'zh': 49}",user
D6194c-1cc,"{'en': 22, 'zh': 0}",user
Spettro9,"{'en': 79, 'zh': 0}",user
Abductive,"{'en': 99, 'zh': 35}",user
ItsPugle,"{'en': 50, 'zh': 0}",user
MartinezMD,"{'en': 36, 'zh': 0}",user
Sachinvenga,"{'en': 78, 'zh': 0}",user
Vecr,"{'en': 37, 'zh': 0}",user
GlenAllenJohnsonJr,"{'en': 65, 'zh': 0}",user
Starship.paint,"{'en': 28, 'zh': 4}",user
Afernand74,"{'en': 34, 'zh': 0}",user
RandomIntrigue,"{'en': 32, 'zh': 0}",user
Popcornfud,"{'en': 59, 'zh': 0}",user
Moxy,"{'en': 50, 'zh': 0}",user
CentreLeftRight,"{'en': 51, 'zh': 25}",user
Whywhenwhohow,"{'en': 75, 'zh': 0}",user
L235,"{'en': 74, 'zh': 0}",user
Swood100,"{'en': 14, 'zh': 0}",user
Spyglasses,"{'en': 69, 'zh': 0}",user
Ain92,"{'en': 52, 'zh': 5}",user
Amakuha,"{'en': 26, 'zh': 0}",user
Juhee Cha,"{'en': 1, 'zh': 0}",user
Nixinova,"{'en': 29, 'zh': 0}",user
Mfb,"{'en': 57, 'zh': 8}",user
PJRoRo,"{'en': 22, 'zh': 0}",user
-sche,"{'en': 19, 'zh': 0}",user
Wikinium,"{'en': 30, 'zh': 0}",user
Daniel1212,"{'en': 23, 'zh': 0}",user
Jmarchn,"{'en': 51, 'zh': 67}",user
LeonardoMelchior,"{'en': 63, 'zh': 0}",user
HiLo48,"{'en': 64, 'zh': 0}",user
Honey-badger24,"{'en': 15, 'zh': 0}",user
RopeTricks,"{'en': 38, 'zh': 0}",user
Ravenpuff,"{'en': 65, 'zh': 0}",user
FT2,"{'en': 31, 'zh': 0}",user
Keith D,"{'en': 1, 'zh': 0}",user
Gtoffoletto,"{'en': 33, 'zh': 0}",user
Prototyperspective,"{'en': 25, 'zh': 0}",user
Wuerzele,"{'en': 22, 'zh': 0}",user
Nemo bis,"{'en': 1, 'zh': 0}",user
OyMosby,"{'en': 23, 'zh': 0}",user
John B123,"{'en': 1, 'zh': 0}",user
Theroyalrambler,"{'en': 26, 'zh': 0}",user
Stephanwehner,"{'en': 72, 'zh': 1}",user
Iridescent,"{'en': 99, 'zh': 0}",user
ReverseSolidus,"{'en': 9, 'zh': 0}",user
Hlucho,"{'en': 77, 'zh': 1}",user
Magnovvig,"{'en': 30, 'zh': 0}",user
TylerDurden8823,"{'en': 71, 'zh': 0}",user
Ian Furst,"{'en': 1, 'zh': 0}",user
Sam1370,"{'en': 40, 'zh': 0}",user
Mohamed Osama AlNagdy,"{'en': 1, 'zh': 0}",user
Veritycheck,"{'en': 37, 'zh': 0}",user
Greatawakening2020,"{'en': 30, 'zh': 0}",user
Comingdeer,"{'en': 48, 'zh': 0}",user
Attomir,"{'en': 65, 'zh': 0}",user
DocWatson42,"{'en': 71, 'zh': 0}",user
Radical Mallard,"{'en': 1, 'zh': 0}",user
Yug,"{'en': 30, 'zh': 52}",user
Spyder212,"{'en': 37, 'zh': 0}",user
Pincrete,"{'en': 38, 'zh': 0}",user
Some1,"{'en': 41, 'zh': 0}",user
Geysirhead,"{'en': 38, 'zh': 0}",user
Capewearer,"{'en': 39, 'zh': 0}",user
United States Man,"{'en': 1, 'zh': 0}",user
Dfdooger,"{'en': 37, 'zh': 0}",user
Xxavyer,"{'en': 88, 'zh': 0}",user
User-duck,"{'en': 77, 'zh': 0}",user
Drbogdan,"{'en': 26, 'zh': 4}",user
GKFX,"{'en': 84, 'zh': 13}",user
Mutleysmith,"{'en': 14, 'zh': 0}",user
Dekimasu,"{'en': 29, 'zh': 0}",user
Shadowssettle,"{'en': 85, 'zh': 0}",user
Cardiology08,"{'en': 6, 'zh': 0}",user
JBW95,"{'en': 50, 'zh': 0}",user
Moksha88,"{'en': 40, 'zh': 1}",user
RTG,"{'en': 29, 'zh': 0}",user
Hpgjg,"{'en': 11, 'zh': 0}",user
Ozzie10aaaa,"{'en': 36, 'zh': 0}",user
Beland,"{'en': 64, 'zh': 1}",user
Valjean,"{'en': 37, 'zh': 0}",user
Bartinny,"{'en': 6, 'zh': 0}",user
Mark viking,"{'en': 1, 'zh': 0}",user
Benznidazole,{'en': 1},article
2019–20 coronavirus pandemic,{'en': 1},article
Intensive care medicine,{'en': 1},article
Doctor%20C,"{'en': 60, 'zh': 0}",user
Talk:Coronavirus disease 2019,{'en': 1},article
Screenshot,{'en': 1},article
2020 coronavirus pandemic in the United States,{'en': 1},article
Coronavirus,{'en': 1},article
Misinformation related to the 2019–20 coronavirus pandemic,{'en': 1},article
Isolation (health care),{'en': 1},article
Wikipedia:Administrator intervention against vandalism,{'en': 1},article
Lake Compounce,{'de': 1},article
Liste ungewöhnlicher Todesfälle,{'de': 1},article
Deaths in 2020,{'en': 1},article
Timeline of the 2019–20 coronavirus pandemic in April 2020,{'en': 1},article
Ansgar the Staller,{'en': 1},article
COVID-19 testing,{'en': 1},article
Baháʼí Faith,{'en': 1},article
2020 Easter tornado outbreak,{'en': 1},article
Tikbalang,{'de': 1},article
Gilbert Cosme,{'de': 1},article
Benutzer:Shi Annan/Naogaon District,{'de': 1},article
Flatten the curve,{'en': 1},article
2020 coronavirus pandemic in the United Kingdom,{'en': 1},article
Gas mask,{'en': 1},article
National responses to the 2019–20 coronavirus pandemic,{'en': 1},article
Doc%20James,"{'en': 46, 'zh': 55}",user
Wikipedia talk:WikiProject Medicine,{'en': 1},article
User talk:Doc James/Mortality,{'en': 1},article
Wikipedia:Administrators' noticeboard,{'en': 1},article
Hepatitis,{'en': 1},article
Chagas disease,{'en': 1},article
Methocarbamol,{'en': 1},article
Remdesivir,{'en': 1},article
Pneumonia,{'en': 1},article
Favipiravir,{'en': 1},article
Lysergic acid diethylamide,{'en': 1},article
User talk:Doc James,{'en': 1},article
Wikipedia talk:WikiProject COVID-19,{'en': 1},article
Talk:2019–20 coronavirus pandemic,{'en': 1},article
Benutzer:Seb12345678/Cauda equina syndrome,{'de': 1},article
